@relation Train
@attribute Lemmatized string
@attribute subtask_c {IND,OTH,GRP}
@data
'suck wanna',IND
'vote sake move issue months allow fuck lets seriously #maga',IND
'basic argument canada passed laws crime stop claim control failure effect crime article advocate',GRP
'control people believe legal owners following current laws fools making citizens',OTH
'realize useless argument drunk arrested youre kill someone drunk murder rules regulations safety drinking need control',IND
'dick damn didnt know actually',IND
'things definitely fucked need state obvious conservatives needed liberals needed without',IND
'except little attempted rape thing wonderful',IND
'qualified',IND
'maxine needs suffering trump',IND
'100% lying dont understand mind liberal money means nothing trump means',IND
'love liberals word kind hillary said said anger knew meant bullshit',GRP
'line sound soon talk control typical funded response mass murder',OTH
'sick corrupt ignorant moron',IND
'keep putting violent liberal antifa hoods beating strangers know nothing streets voters voters love violence &amp lunatic liberals minds streets violent liberals',GRP
'really control limits personally safety makes even good people guns even make hard women guns self defense keep simple background check system already',IND
'thing beto texas border reasonable control texas citizens someone hurt citizens defend poor need beto',GRP
'dont care good player year make train tell looks example',IND
'turn maga',OTH
'conservatives anything eliminate value country people worked died dont want lost fake constitution people value constitution right',GRP
'push narrative remember place tell think well hillary said deplorable said dregs society tells feel middle class christians conservatives',GRP
'please find thread failure deal foul smear good example rules apply #fakenews #maga soon',IND
'look #kavanaugh stop shit #maga',OTH
'face_with_tears_of_joy zombie walk little scary remember zombie said going',GRP
'knew wouldnt never thought every single republican everything mentioned tweet pretty',IND
'knew released ignorant base',IND
'never doubt read dirty satan',OTH
'antifa simply wants kill carry back',GRP
'wall women raped',GRP
'disgrace',IND
'sadly blew interview bought pass test real progressive whats left base thanks need know',IND
'antifa',IND
'reputation dishonest senator',IND
'control press',OTH
'kavanaugh innocent liberals hate trump right thing years word',IND
'complete pouting_face',IND
'show plenty lefties antifa getting weak',GRP
'going away nearly dead lack post hurricane support trump administration using single year offensive',IND
'love bitch',IND
'help already account wants dont phone instead tells busy hang service',IND
'lier money nobody wants except fascists friends money friends nazis nazi',IND
'doesnt lose spend money free better',IND
'cowards list antifa cowards terrorist',GRP
'spoiled',GRP
'nothing left wing unhinged liberal needs shut life time',IND
'missing brains',IND
'disturbed platform become state',GRP
'dumb point',IND
'fuck going back',OTH
'vicious',IND
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy delusional',IND
'antifa hate groups created democrats',GRP
'said character really cheap porn high type',IND
'tweet care less whatever',IND
'evidence liberals goal sabotage make trump enemy trump hate vote canada election 2019',IND
'sick individual life make world better place trash',IND
'gotta keep control terrorists',GRP
'sounds relevant woke snowflakes abortion india legal womans choice instead issue india least relevant',OTH
'supporting state international crimes shame',OTH
'seen shit trump family members mine believes trump helped trump &amp majority immigrants come',GRP
'havent cant anything',OTH
'drunk back #maga',IND
'bigger problem liberal control nuts want open borders society create ruling class communist proven fail england muslim ground shameful',OTH
'shocking almost liberals crazy insane clinton witch lost theyve become bunch damn stop acting children grow',GRP
'talking someone background guns catholic control research',OTH
'#antifa weapons fight racists streets mass murder stands communist killed million people United_States',GRP
'coming arrested charged deranged individual',IND
'really call citizens worse deplorable nuts wonder running obviously thinks better time away biden',IND
'youre embarrassment republican party glad took quit',OTH
'proof United_States friends dont free college putting illegals United_States antifa running around acting never real life experience antifa kids white',GRP
'almost every talked work today said fuck',IND
'hope fucken thought face_with_tears_of_joy face_with_tears_of_joy',IND
'dirty',IND
'name social death anyone members dare many people lost lives control',OTH
'problem chicago wish think something different attention control getting',GRP
'careful arms might fall clean',IND
'innocent people dont resign know liberals love sexual keith ellison several women police support',IND
'making good decisions',IND
'know difference pretending someone lying thats point point people forever kill victims sucks',IND
'gives shit miss sorry',IND
'qualified obama folks together',GRP
'sorry almost monster cant controlled even controlled youll make mental issues',IND
'conservatives know canadian liberal media 24/7 hate news help trudeau obvious youre whos hurts canada read tweet thread ignore trumps support israel',IND
'wake black americans #maga #kavanaugh #trump #trump2020 #walkaway #kag',GRP
'safe fucker',IND
'paid #votedemsout #kavanaugh',GRP
'decide isnt reasonable fully possible reasonable still wrong never watched show going heard people',IND
'thats donald trump office democrats good republicans government globalist international',GRP
'clear wouldnt listen anyways arguing racism tweet rather calling ignorant white girl',GRP
'teach',IND
'cool found person dumber nice move',IND
'doesnt enough going',IND
'talking maga sorry twitter isnt eyes maybe youll latest article please dont sure',IND
'isnt control lady turned bully',IND
'actually shit',OTH
'holy shit sick',IND
'course corrupt party #maga #wwg1wga',OTH
'really even care comes annoying mouth home david adults #maga',IND
'yeah liberals look victim held covered mouth tried rape friend turned music loud cover hurt already',GRP
'make sort sexual foul joke liberals really making',IND
'folks protest great president pure simple bring control weapon free weapon trying cause control shot head',IND
'sociopath incapable feeling empathy period',IND
'dont videos trump supporters sending away dont accept racism said fine people antifa ahead pick choose',IND
'cant remember happened cant remember happened cant remember liar smear liar',IND
'girl',IND
'size',IND
'serena &amp spoiled brat rules',IND
'sending',IND
'crazy liberals crazy eyes',GRP
'still want fuck pussy',IND
'seat #walkaway #wwg1wga #qanon #maga',IND
'fuck',IND
'anyone target leftist liberals goal decent conservatives pass service result country liberals antifa',GRP
'loves dictator leader president putin leaders rule terror things president donald trump figure',IND
'illegal immigrants never elected',OTH
'looking problem',IND
'conservatives know soon public theyre list',GRP
'spewing &amp anything going district thing socialism dont work suck',IND
'rest pussy',IND
'dont hate dont hate conservatives hate stupid hate hypocrites fact think conservative matters matter means much order think',GRP
'fuck',OTH
'conservatives ignore fact gesture used racists theyre white much countries still &amp ruined nazis',IND
'moron',IND
'guys ugly unhinged',GRP
'bitch hood serving face_with_tears_of_joy face_with_tears_of_joy',GRP
'lock insane',IND
'fire today really good ugly fuck almost passed fuckin fire wish share brother',IND
'#metoo best weapon liberals process disgusting woman ones using weapon shameful typical poster child using woman',GRP
'bono sucks',IND
'fuck',IND
'incompetent person',IND
'fuck terrorists',IND
'ridiculous tweet read today comparing traitors liberals saying democrats republicans pathetic',IND
'ignorant control know talking',IND
'always found liberals progressives ones socialists knew wanted live well',GRP
'fuck elect',GRP
'said speech someone asked wanting control',IND
'bullshit star instead &amp jeff america needs',GRP
'missing point hard point expected responsibility lies woman culture actions woman listen silly girl part culture',GRP
'bloody demon dont need',IND
'United_States #maga',IND
'know nazi liberals &amp dont care know everyone hollywood &amp',GRP
'sister single thing obama said',IND
'know sure maybe tweeting lunatic planning next rally never president brainwashed realize',IND
'allowed congress supposed check clown control congress folks write laws happening',IND
'annoying',IND
'niggas wanna live world world death literally',GRP
'bitches',IND
'white liberals black people black person tries order considered smart good teach',GRP
'#usa going little thinks grinning_squinting_face #maga #mbga #mcga #conservatives #patriots #mega #trump #democrats #republicans',GRP
'people died puerto rico corruption',GRP
'game sucks',OTH
'better lying',IND
'every gets lower lower wanna nazi going pile maga bottom soon enough',IND
'liberal intellectual nothing bigot',IND
'unkind',OTH
'lolol a**hole',IND
'better idea whatever name resign &amp hell back hell people came sake country',IND
'calls nobody',IND
'coming thats conservative political cant liberals liberals vile nasty opposing views',GRP
'gets closer november left full talking points forever amendment idiots lets',GRP
'leftist #maga',IND
'cant pervert zero disappointed pope',IND
'know exactly works steal money regulations taxes people cant thing government violence think democrats desperately need control want even power people',GRP
'dont watch games hole',IND
'theyre democrats right theyre hiding anymore #fakenews #maga',IND
'voters deserve voters maga',GRP
'realize party antifa complete lack self people dangerous',GRP
'democrats animals country power back',GRP
'democrats controlled major cities long theyve left others crime alternative life instead hand maybe teach better',OTH
'trump doesnt want investigate claim trump reported trump raped culture dirty sexual perverted liberals thing ford anita hill white respect women',GRP
'deranged left make little boys really going happen pure evil #votedemsout #maga',GRP
'enough enough leader seems public',IND
'guys dont right hypocrites',GRP
'rape never happened lying word many women liars',GRP
'please first much seem asshole cant hear anything screaming obvious dont dude stfu',IND
'doesnt surprise texans hate liberals soros',GRP
'&gttfw lesbian',IND
'control nuts allowed thing',IND
'keep telling think liberals believe need many million sitting budget intention funding',OTH
'belongs prison killing needs change control laws',IND
'liberals sure love spend peoples money hope change really works well obamas really changed better liberals brain left theyd vote president trump',GRP
'sick people',GRP
'sure',IND
'exactly havent watched years refuse former think jerry jones disgrace people helped make rich',IND
'safety word control isnt anything safe control limits abiding citizens ignore laws wake folks need liberal vote patriots vote latin_cross United_States',GRP
'think calling idiots attacking ones took message sent',IND
'reputation reputation reputation away antifa activist good said useful',IND
'watch beat',IND
'found holding woman liberals insane',GRP
'sending funny aware sent deaths',GRP
'voted article',IND
'maga wearing traitors going post videos burning &amp',IND
'liberals complain time records anonymous wait criminal character good',GRP
'jesus christ liberals start young',GRP
'dont watch moron movies',IND
'another trying back back england shut',IND
'creepy hands little girls demonrats seen &amp wont talk disgusting pervert actions hate conservatives trump hillary shut away',IND
'good lord woman',IND
'fuck face_with_tears_of_joy red_heart',IND
'conservatives need',IND
'next years much conservatives',OTH
'yall bitches',GRP
'fuck',IND
'corruption lies',IND
'took away constitution congress refuses article taken away control laws anymore obama stupid',IND
'left antifa bunch bullies seems everyone nazi different opinion',GRP
'heart attack city keep eating',IND
'daughter parents hypocrites',IND
'deserved showed true behavior embarrassment arguing side thinks shes',IND
'lets treason laws remove holder',IND
'beat',IND
'obama zero worst president leader country hands shows liberal total loser dont know party nothing except complain trumps liberals',GRP
'trump devil make sure part make sure doesnt voting definitely even scum earth',IND
'anything help thank #patriots #maga dont hear help share loose gotta place thanks folks bless',IND
'thought said cant true made',IND
'shit hole corrupt liberals destroyed years years years',IND
'husband despicable person narcissist cares including',IND
'mine stop crap proof conservatives',GRP
'childish unprofessional',IND
'america better jeff flake away',IND
'says white white people many shitty white people sees',GRP
'mentioned arrest corrupt mayor guess busy getting away',GRP
'deep disgrace abuse rights existence even mine knows life opportunist government people suck liberal dick left nazi',IND
'good mess',IND
'using safe argue liberals order help liberals interest perfect play process helping &amp process',OTH
'think belongs room trash making comments dont hear flag nazis',IND
'according liberals guilty unless proves wait trusted dare make claim woman women perfect',GRP
'pathetic',IND
'guess really garbage liberals',GRP
'#conservatives everywhere small town kids need first need know consequences shouldnt held responsible something sleep night',GRP
'crook walking free',IND
'total point anger liberals keep dont leave sorry party',GRP
'actually terrible imagine proud getting people water arrested didnt want arrested awful person',IND
'word cause music theres reason shouldnt selling shows isnt',IND
'russia terrible terrible bitch texas piece shit million points first even western',OTH
'absolutely stupid never double',IND
'republicans sign plan fuck trump considering failure platform better republican alternative',IND
'conservatives removed texas education looks theyre blind dumb',IND
'time tell type jump lefty someone fair chance policies either huge failure liberals result losing next election success hole',IND
'thats seeing want think people want look powerful useless thing mock',GRP
'democrats suffering trump desperate dirty tricks wont work #maga',IND
'thats dick energy',IND
'eric balls',IND
'total phony',IND
'friend isnt control',IND
'stop paying attention theyve',OTH
'shows world useless little brat whats nuts yeah',IND
'nonsense incapable straight news fake',OTH
'piece shit',IND
'telling knows bottom proof higher intelligence need',IND
'dirty liberals november first clear left absolutely zero intention playing rules hope president trump joke party',GRP
'either shit somebody face_with_tears_of_joy',GRP
'butt',IND
'lack morals mother abortion murder',IND
'amazing liberals political agenda dont believe good feeling evidence',IND
'democrats want control practice youll better',GRP
'cause woman comes years later cant believed liberal outrage accused beating wife silent libs hypocritical liberals make sick',GRP
'mock disabled people funny maga crowd likes pick weak support powerful bullies wonder model',GRP
'jesus',IND
'amazing dems dont feel keep illegals',GRP
'control failed rate dropped laws people dont really give shit though',IND
'dumb government allowed make decision entire even enforce going every world',OTH
'know think theyre ones surprised think liberals want make ownership illegal',GRP
'well shes half right shit',IND
'media using criminals push control',GRP
'thats antifa theyre violent hide obviously support',IND
'makes look ignorant daily #maga without',IND
'bono always hand someone america never money',IND
'afraid liberals potus screaming keep truth dont want hypocrites &amp involved coup',GRP
'yeah thats kinda thing right proud boys wear saying nothing wrong antifa ones violent please actual fascist every time brought experience dude stopped',IND
'hell last year',IND
'every social media platforms arguing racist isnt push gain power shit know exactly saying pretty liberal cant stand racism',IND
'chicago already strictest control laws country',OTH
'liars',GRP
'love liberals deal europe',GRP
'thats fucking rude',IND
'liberal',GRP
'gonna death',IND
'honestly people seriously delusional good thing majority fans educated scary',GRP
'still anonymous oped times times refused name crap within #trump #maga',IND
'eyes fucking louder words smiling_face_with_hearteyes smiling_face_with_hearteyes purple_heart purple_heart',IND
'#thursdaythoughts admit twitter conservatives seems annoying main feed stupid black return wont even back morning',OTH
'shame tennis stole serena proven draw racists cant handle',OTH
'stupid people tell cause bitch football games class literally everything knows exact numbers everything cause aint',GRP
'didnt start conversation trash talked yall stay mention',IND
'totally follow dangerous thank United_States',GRP
'agreed great idea wish remove existence #maga',IND
'amount shit fuck',IND
'many corrupt evil beings hold govt positions much corrupt &amp evil beings positions &amp majority point left fake conservatives &amp cronies still walking free',GRP
'voter puerto decent doesnt white liberals',GRP
'real shit',OTH
'want conservatives plan even consider change using blatant lead people fault fucking sociopath',IND
'disgraceful innocent proven guilty happen lying',IND
'know control worked refuse anything',OTH
'everything said exactly need control saving lives nothing matters saving lives people second amendment right crying feelings away coward guns away coward',IND
'liberals jump dont believe process innocent proven anti american bunch',GRP
'dont care right left back bitch star office good',IND
'ugly hell something anybody wants look',IND
'United_States #usa #maga #americafirst #trump',IND
'times dropped kicked back feet aint face_with_tears_of_joy',IND
'even antifa page couldnt deal shit',GRP
'comes pain #magaUnited_States United_States United_States United_States United_States #wwg1wga',IND
'hell think little',IND
'america isnt military husband didnt battle died home fighting control stronger laws mental police educate issues',OTH
'david stop anti people nothing looking remember antifa radical left groups violent hurt people course agree',IND
'called everything person women racist antifa members haha pretty common fraud gets start calling ones hilarious names',GRP
'funny assume left antifa even though dislike nazis youre still',IND
'know youre',IND
'dickhead thatface_with_tears_of_joy',IND
'catholic church house demons',OTH
'juan needs check completely control',IND
'funny',IND
'hell liberals move california build wall border',GRP
'democrats dont care anything president trump people better realize serious getting vote suffer liberals',IND
'antifa dont conservatives medicare going antifa',OTH
'hell left already hates enough black conservatives arent liked country comment fight',GRP
'disgusting',IND
'follow maga patriots United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States',OTH
'know whole people whole bullshit right youll feel responsible happened today already damn much know good great love',GRP
'obama never killed chicago every week chicago ground control laws working watch blame',GRP
'called education health care major strict control abortion',GRP
'suck dick offer',IND
'dont fool republicans need decide going good people need know kavanaugh going make first dictator happen',IND
'movement giving away mine claims took still relevant show standing another bitter home',IND
'shit',OTH
'fair point didnt make meme couldnt sucks many politics funds antifa black lives matter divide people country apart',GRP
'vicious republicans hearings liberals response liar claim republicans defending info real women dont #kavanaugh',IND
'biased conservatives conservatives',GRP
'swear shit real',IND
'“casually fucked”',IND
'something getting really high quality draw really boring fucking something',OTH
'dare',IND
'cute girl crush year called funny want throw',IND
'control anti havent seen single attacking thats rhetoric create fear',GRP
'police department shit cute open',IND
'either liberals shame',GRP
'said niggas',GRP
'sucks loudly_crying_face face_vomiting nauseated_face',IND
'needs light',IND
'democrats havent done anything cover think solution want control abortion control free free quit',GRP
'poor baby entire network trusted people still watching brainwashed liberals demonrats',GRP
'maxine town loser joke',IND
'kept seat open year fair push kavanaugh nominee american people deserve better woman deserves better',IND
'really cant hypocrisy antifa obvious drunk cool',IND
'care going prison prison',IND
'free speech alive well social media platforms strict opinions',OTH
'wonder victims',IND
'cares great deal number people died irrelevant long doesnt look sure blaming democrats trumps lack empathy inability responsibility',IND
'miss head total lack control',IND
'always knew biden obama felt conservatives shocking easily admit wonder hatred violence left',GRP
'worries known',IND
'shit together',OTH
'back',IND
'people living place moment moment everything shit feel stronger people successful educated clean violence death',OTH
'antifa much much white america responsible violence nazis',GRP
'ford parents politicians going people come stories years cant proved senator shes reason women hard time life aint easy',GRP
'acting spoiled brat women need sort help',IND
'fuck',IND
'hell talking anything stop maga',GRP
'trumps promise border wall control innocent lives taken',IND
'time maga',IND
'shes killing babies',IND
'seems events control safety debate believe eventually state pass laws schools better protection events order push agenda',IND
'cant write away stupidity liberals',GRP
'exactly sound complete shit tell',IND
'sorry break bible actually ancient bible isnt claims inability said claims',OTH
'nigga everywhere face_with_tears_of_joy face_with_tears_of_joy cant escape time',IND
'embarrassing wonder women raped',GRP
'wont hear claims years record many times pile shit room #maga',IND
'ugly dumb woman',IND
'liberal anyone give disgusting including liberals bullshit decision',GRP
'fired dead public fake news dont show crowd scared cant stand fire',IND
'think hypocrite evil vote',IND
'really sucks control',IND
'dogs children terms #maga',IND
'physically threatening boys completely name wasnt honestly saying shit course said fucked least death threats line',IND
'lies republicans',IND
'antifa think stupid told white stands thanks',GRP
'probably think hope little hearing hope prove liar witch rest liberals',IND
'another sick liberal',IND
'antifa known nazi never thought theyre ones call everyone nazi anything',GRP
'americans need realize rape kill easily environment absolutely close borders proper',OTH
'long biggest exposed corrupt fake lying',IND
'convenient conservative believes people always type propaganda conservative beliefs conservatives dont learn think',GRP
'cant wait kavanaugh throw control garbage belongs',IND
'coward',IND
'flake flake dont senate door behind',IND
'isnt understand general population sort holding',GRP
'still dont keep dregs society support donald trump #maga',IND
'dont support control texas long beto',OTH
'hope whoever gets kick want someone theyre liberals worst nightmare everyone look back really fucked dont protesting kavanaugh still protesting trumps',OTH
'thought dislike anyone father wrong even pathetic children must proud father',IND
'face_with_rolling_eyes shes claiming rape said wont background checks anything found investigate something doesnt even know #maga',IND
'watch music video love dumb',IND
'feel face never change right middle',IND
'conservatives want talk really lets started balls lets busy',GRP
'know care control done nothing help children fight america vote help kids school vote trump lied',IND
'smarter fine wants wouldnt work actually money wasnt daddy smiling_face_with_sunglasses',GRP
'honest enforcement chinese sexual high school funny american citizen didnt vote #maga',IND
'really horrible show hundreds antifa didnt kill anybody',OTH
'serious investigation womans motives behind political kind shit never done anyone conservatives bullshit',GRP
'asking blatant truth control discussion country criminals fear government',OTH
'insane antifa democrats violent domestic terrorist group',GRP
'hell talking threats coming control nuts made kids',IND
'hell rights hell support special interest hell trump hell destroy american healthcare hell favor &amp stop control hell vote rights hell immigrants',GRP
'nothing lose',IND
'truth need threaten even control seriously talked',GRP
'shame willing ruin good accusation cant prove theyre liberals dont want supreme court justice follow constitution politics shame',GRP
'needs away face consequences',IND
'hell queen believe less less every pull youre nothing lying #maga #trump2020',IND
'maybe smart enough tired getting',IND
'horrible record control give fuck record horrible theres stupid shit',GRP
'coming sick liberals beast',OTH
'probably violent liberal antifa full force showing much really care humans nope never fall fake garbage long strangers beat thugs never',IND
'#trump walking towards crowd love moment honest nothing actor tears call control',IND
'thanks bitch believe',IND
'planning 2020 lost mind',IND
'asshole much nerve',IND
'talk court liberals want word able destroy another life nothing back youre sick',IND
'hair asking pussy getting thinking trying hide worst #maga',OTH
'lose entire thing block kavanaugh conservative side nominated trump liberals playing games cant youve brainwashed media',GRP
'ashamed michael moore start term internet called troll think ancient troll coming liberal ignorance',IND
'speaks nothing think',IND
'shit',IND
'fucking abuse everyone appears people movies people think fair',IND
'believe asked people vote mentally unstable',IND
'reason liberals sick',GRP
'facts hate trump liberal activist makes year claim completely character judge kavanaugh shouldnt question total scam liberals turning jerry show',IND
'jokes funny person saying doesnt really hate whites christians thats national past time liberals days funny farrakhan crowd racist crap',IND
'1001',IND
'much jail whole family',GRP
'game',IND
'thought werent funny comedian',IND
'going start socialism control everyone',IND
'liberals vile vicious disgusting',GRP
'plain stupid thinks shes come next public make tories political come',IND
'hilarious liberals think theres using senate rules keep nominee voted bringing someone accuse nominee sexual assault years showing',IND
'republicans brain',GRP
'satan',IND
'need leave shit past tweet literally made',IND
'always thats traitors clearly deep state state swamp whatever wish call sees &amp elections #maga',GRP
'carrey shut good',IND
'didnt think sorry true obama screw american people',IND
'time press federal criminal charges eric holder swamp scum',IND
'suffer fools people lazy read learn',GRP
'losing believes speak well part crooked trump done president',IND
'control working chicago military access assault weapons ignorance still working chinese',OTH
'youre fucking idiot',IND
'sick individual dont care pope trash pick sick bring justice',IND
'thank stupid events serve help republicans 2018 2020 elections #maga',GRP
'better watch morons hands least accusation sexual harassment charges skin',IND
'worst president',IND
'real life character love respect shit keep',IND
'gain understanding hatred putting #maga ignorance platform putting youre going hatred return',IND
'biggest thing fail everywhere',IND
'gonna',IND
'girl bitches',GRP
'reading right thats says believe still stay going anywhere even docs released public wont covered media nobody know',GRP
'believe sides terrible doesnt honestly look conservatives',GRP
'conservatives literally tried argue rights cause western used fall example somehow want didnt',IND
'hitler proud david',GRP
'killing early sitting late looks going miss sucks',OTH
'call negative lives brain constantly battle creep',IND
'chicago already control laws country democrats want disarm abiding citizens criminals always guns',GRP
'liberals dont address attack',GRP
'many bringing fight ended case state cant stomach level every knows',GRP
'nice true life trump haters funny thing trump done everything good americans america anti americans trump amazing people trumps evil liberal democrats &amp band haters antifa blue wave',OTH
'telling antifa shits dropped less better',IND
'damn ugly',IND
'either crazy stupid straight lying people return policy',IND
'really talking nonsense talk bible',IND
'tactic left actually tactic used decades playbook right democratic socialist antifa #maga #qanon',GRP
'awesome plan next gonna pulling money medicare &amp stay never time #maga',IND
'kind feel antifa maybe',GRP
'still though confirm done though',IND
'holder prison',IND
'youre saying official suppose back every rule silly argument line called thats saying didnt thrown thrown',IND
'pres trump right release docs proves investigation biased almost later mueller nothing trump presidency liberals',IND
'pathetic',IND
'shot calls control research unethical',OTH
'called said great ideas thought actually puppet',IND
'kind mean woman says pretty young ugly never look thing makes look jealous',IND
'shit doesnt feel real life dont',IND
'liberals truly absolutely disgusting',IND
'think donald trump disgusting disgraceful shame thinking much puerto rico failed failure called president nothing talk puerto doesnt understand',IND
'speaks filled holy',IND
'democrats bring back nazi tactics nazi brown shirts form antifa',GRP
'attempt later life certain guess bono made clear thinking_face thinking_face',IND
'remember young minds',IND
'moore allegations past #maga tells beyond years jeff hands head rabbit rabbit rabbit',OTH
'coming',IND
'anyone expect anything less fool incompetent hair fire libs people lives blame pres trump',IND
'cunt whos',GRP
'lmao dumb pile said give cancer',IND
'first ones calls robbed people freaking stupid face_with_rolling_eyes',GRP
'dont feel sorry even amount dumb kids keep watching playing games',IND
'screw keep shit honestly face_with_tears_of_joy',IND
'bitch',IND
'crazy things liberals blame trump unhinged blame everything president',GRP
'think found',IND
'social proper everyone knows white trash little money know makes everything always embarrassment',IND
'sides white shouldnt hard sides wrong side stop trying antifa white makes look white',GRP
'shit niggas told seen size lmaoooo man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone kinds shit',GRP
'girl called tryna call ugly show ugly',IND
'youd know isnt women democrats dont call justice women assaulted democrats evidence &amp police youd know dems demand conservatives found guilty upon accusation youd know political',IND
'right nerve bitch antifa',IND
'common sense control racist rhetoric',GRP
'democrats double hypocrisy #maga #confirmkavanaugh',OTH
'texas doesnt need liberal everything liberals touch turns crap',OTH
'#metoo ruined hateful democrats disgusting ruin everything touch #maga',GRP
'unfortunately real democrats feel blacks socialism making citizens government conservatives never happen kind treason amendment',GRP
'tells minions says rest world different things keep raping killing stupid liberals think dont taken lies next years india',GRP
'hell yeah',IND
'risking',IND
'democrats becoming despicable bottom lies liberals along makes sense',GRP
'right anymore nonsense going keep following others dangerous society biggest fake going proved rest antifa bloody dangerous',GRP
'trash',IND
'breatge kpop stan nigger',GRP
'rats pulling anita hill judge kavanaugh confirmation work communists destroy #maga',GRP
'troll simply dumb love rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing',IND
'hillary blaming women long better hope dont show vote isnt much liberals ignorant know many things arent',IND
'support bomb',IND
'fuck right ends',IND
'really sucks liberals refugees anyone isnt uses dollars',GRP
'thats blatant antifa worse hate group look university california nearly destroyed wasnt white free speech',GRP
'slap shit',IND
'listen robbed american taxpayers millions dollars gave iran',IND
'well better looking lying lawyer',IND
'hate really takes people physically unhinged liberals look well 24/7 fake news sucking life people feel',GRP
'presidents president',IND
'yeah control uses black people',GRP
'found today jesus isnt white cant church cant watch football damn obama liberals',OTH
'happens next whoever votes gets destroyed vote republicans senate liberals worst nightmare',IND
'sucks asked play never back suck',IND
'liberals rules time',GRP
'liberals dont give rats power period everything doesnt',OTH
'must forced church needs bottom',OTH
'#republicans #conservatives step confirm predator scotus judge step eliminate womens choice step eliminate whites voting rights step eliminate womens voting rights step immigration',GRP
'dont support medicare voted dreamers voted racist police bill voted give donald trump even military budget didnt thing control voted racist bill',GRP
'doesnt matter said correct anyone stupid life families lives based fool',IND
'feinstein political thank able give conservatives need back hard political criminals',GRP
'active know think dangerous fool maybe 100% racist military support',IND
'insulting black fully getting makes think cant lets honest liberals white want protecting votes',GRP
'&amp thats dont mind people everyone life',GRP
'miriam',IND
'cant fact delusional think something effect country come first illegals',OTH
'dumb looks',IND
'case fucked good book',OTH
'(and shit eric',GRP
'clown_face',IND
'hate democrats fight everyday making much dont give damn want ready #maga party trump elected 2020 keep democrats till 2020',GRP
'story lying liberals thinking_face',IND
'conservatives believe attempted rape form thats getting look past wont believe nonsense',IND
'youre full liberals paid soros things',GRP
'area didnt money attempt money proved isnt scam',IND
'thats exactly evil liberals people step guess bullying done liberals',GRP
'course shes making money situation values power',IND
'move ahead kavanaughs without legal constitution &amp horrible says wait info &amp sure',IND
'fuck cover american politics canadian politics fucking disgrace report news news stuff makes conservatives look ignore stuff makes liberals look',GRP
'years later liberals wants away',IND
'nigga peace damn',IND
'yeah ruin fucking hype werent',IND
'wonder antifa streets find corrupt government',OTH
'thats silly made popular fuck',IND
'well ignore giving attention child never good enough body love attention posts',IND
'glad wear control stop criminals',GRP
'zero evidence love seeing liberals shit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'democrats funding goes around thats done conservatives play rules fucked every time',GRP
'lock wait blatant somebody scared trump gets hang cant imagine feeling makes',IND
'question argument sensible control another shooting truly believe push',IND
'liberal illegal immigrants dreamers trump supporters deplorable dregs ms13 killers human beings babies womb human beings abiding terrorists bill clinton feminist brett mental disorder',GRP
'liberals sick people',GRP
'another attempt dems hide truth abuse women movement women #metoo another soros groups antifa',IND
'antifa burn conservatives house &amp throwing',GRP
'played straight fucking garbage mean last year much scared death start',IND
'understand sound love money bastards',GRP
'thats liberals morals anything goes kind drugs child',OTH
'arrest crazy democrat',IND
'dont mess dont mess',IND
'cruz thinks voters stupid says beto state texas #resist #maga',GRP
'right politics place lives',GRP
'fuck disgusting animals shit',GRP
'show getting tories ridiculous',IND
'pretending libs #maga',IND
'think blame control',GRP
'crap anyone want save crap',IND
'loud maga merch dont shit nike anything kiss',IND
'really wanna bring personal work dont wanna seem apple',IND
'cant stand listen change speaks believes nuts #walkaway United_States United_States #maga United_States United_States',IND
'come long line bigots morons hard first gets better decent eventually realize better',GRP
'comparing government enforcement subject constitutional laws private yeah makes sense wait stop talking complete',IND
'',IND
'unhinged going conservatives making money process smart knows &amp liberal left good business days &amp eating',IND
'love cute',IND
'another anything',IND
'#liberals continue shows dont mentally',GRP
'every time hate feeling happens fuck',IND
'didnt read whole thing white mass arent even considered terrorism theres agenda murder',GRP
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy communist fool',IND
'antifa behaviour',IND
'cares leader report lefty left promoting trudeau liberals liberal party shameful',OTH
'democrats left liberal judges conservatives every liberal judge investigated back school',IND
'never never know truth maybe first really stupid grab either doubt know complete truth',IND
'rest life',OTH
'terrible',IND
'amazing much money thrown liberals freaking beto everything wrong america vote cruz',GRP
'forget monster think',IND
'bono turn refugees asshole',IND
'nothing lying human waste paid left turn',IND
'yeah sure youll wait certain amount time talking control right sure youre saying thing people using dead push laws nothing right',GRP
'biden thats phony actor stage time come &amp gone care less preach',IND
'nigga',GRP
'president liberals',GRP
'hopefully hate leftist stop saying stupid stuff',IND
