@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'dont care good player year make train tell looks',IND
'turn maga',OTH
'conservatives anything eliminate value country people worked died dont want lost fake constitution people value constitution right',GRP
'push narrative remember place tell think well hillary said deplorable said dregs society tells feel middle class christians conservatives',GRP
'please find thread failure deal foul smear good example rules apply #fakenews #maga soon',IND
'look #kavanaugh stop shit #maga',OTH
'face_with_tears_of_joy walk little scary remember said going',GRP
'knew wouldnt never thought every single republican everything mentioned tweet',IND
'knew released ignorant',IND
'never doubt read dirty satan',OTH
'antifa simply wants kill carry back',GRP
'wall women',GRP
'disgrac',IND
'sadly blew interview bought pass test real progressive whats left base thanks need know',IND
'antifa',IND
'reputation dishonest sen',IND
'control press',OTH
'kavanaugh innocent liberals hate trump right thing years word',IND
'complete pouting_fac',IND
'show plenty lefties antifa getting weak punk',GRP
'going away nearly dead lack post hurricane support trump administration using single year',IND
'love bitch',IND
'help already account wants dont phone instead tells busy hang',IND
'lier money nobody wants except fascists friends money friends nazis nazi',IND
'doesnt lose spend money free bett',IND
'cowards list antifa cowards terrorist',GRP
'spoiled brat',GRP
'nothing left wing unhinged liberal jerk needs shut life tim',IND
'missing brain',IND
'platform become st',GRP
'dumb point',IND
'fuck going back',OTH
'vicious',IND
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',IND
'antifa hate groups democrat',GRP
'said character really cheap porn high',IND
'tweet care less whatever',IND
'evidence liberals goal sabotage make trump enemy trump hate vote canada election 2019',IND
'sick individual life make world better place loss trash',IND
'gotta keep control terrorist',GRP
'sounds relevant woke snowflakes abortion india legal womans choice instead issue india least',OTH
'supporting state international crimes sham',OTH
'seen shit trump family members mine believes trump helped trump &amp majority immigrants come upset',GRP
'havent cant anyth',OTH
'drunk back #maga',IND
'bigger problem liberal control nuts want open borders society create ruling class communist proven fail england muslim ground sham',OTH
'shocking almost liberals crazy insane clinton witch lost theyve become bunch damn stop acting children grow',GRP
'talking someone background guns catholic control research',OTH
'#antifa weapons fight racists streets mass murder stands communist killed million people united_st',GRP
'coming arrested charged deranged',IND
'really call citizens worse deplorable nuts wonder running obviously thinks better time away biden',IND
'youre embarrassment republican party glad took quit',OTH
'proof united_states friends dont free college putting illegals united_states antifa running around acting never real life experience antifa kids white',GRP
'almost every talked work today said fuck',IND
'hope fucken thought face_with_tears_of_joy face_with_tears_of_joy',IND
'dirty',IND
'name social death anyone members dare many people lost lives control',OTH
'problem chicago wish think something different attention control',GRP
'careful arms might fall clean',IND
'innocent people dont resign know liberals love sexual keith ellison several women police support',IND
'making good',IND
'know difference pretending someone lying thats point point people forever kill victims suck',IND
'gives shit miss',IND
'obama folks togeth',GRP
'sorry almost monster cant controlled even controlled youll make mental issu',IND
'conservatives know canadian liberal media 24/7 hate news help trudeau obvious youre whos canada read tweet thread ignore trumps support israel',IND
'wake black americans #maga #kavanaugh #trump #trump2020 #walkaway #kag',GRP
'safe fuck',IND
'paid #votedemsout #kavanaugh',GRP
'decide isnt reasonable fully possible reasonable still wrong never watched show going heard people',IND
'thats donald trump office democrats good republicans government globalist international',GRP
'clear wouldnt listen arguing racism tweet rather calling ignorant white girl',GRP
'teach',IND
'cool found person dumber nice',IND
'doesnt enough going',IND
'talking maga sorry twitter isnt eyes maybe youll latest article please dont sure',IND
'isnt control lady turned bulli',IND
'actually shit',OTH
'holy shit sick',IND
'course corrupt party #maga #wwg1wga',OTH
'really even care comes mouth home david #maga',IND
'yeah liberals look victim held covered mouth tried rape friend turned music loud cover hurt already',GRP
'make sort sexual foul joke liberals really mak',IND
'folks protest great president pure simple bring control weapon free weapon trying cause control shot head',IND
'sociopath incapable feeling empathy period',IND
'dont videos trump supporters sending away dont accept racism said fine people antifa ahead pick choose',IND
'cant remember happened cant remember happened cant remember liar smear liar',IND
'girl',IND
'size stadium',IND
'serena &amp spoiled brat',IND
'sending',IND
'crazy liberals crazy ey',GRP
'still want fuck pussy',IND
'seat #walkaway #wwg1wga #qanon #maga',IND
'fuck',IND
'anyone target leftist liberals goal decent conservatives pass service result country liberals antifa',GRP
'loves leader president putin leaders rule terror things president donald trump',IND
'illegal immigrants never elect',OTH
'looking problem',IND
'conservatives know soon public theyre list',GRP
'spewing &amp anything going district thing socialism dont work suck',IND
'rest',IND
'dont hate dont hate conservatives hate stupid hate hypocrites fact think conservative matters matter means much order think',GRP
'fuck',OTH
'conservatives ignore fact gesture used racists theyre white much countries still &amp ruined nazi',IND
'moron',IND
'guys ugly',GRP
'bitch hood serving face_with_tears_of_joy face_with_tears_of_joy',GRP
'lock insan',IND
'fire today really good ugly fuck almost passed fuckin fire wish share brother',IND
'#metoo best weapon liberals process disgusting woman ones using weapon shameful typical poster child using woman',GRP
'bono suck',IND
'fuck',IND
'incompetent person',IND
'fuck terrorist',IND
'ridiculous tweet read today comparing traitors liberals saying democrats republicans pathet',IND
'ignorant control know talk',IND
'always found liberals progressives ones socialists knew wanted live well',GRP
'fuck elect',GRP
'said speech someone asked wanting control',IND
'bullshit star instead &amp jeff america needs',GRP
'missing point hard point expected responsibility lies woman culture actions woman listen silly girl part',GRP
'bloody demon dont need',IND
'united_states #maga',IND
'know nazi liberals &amp dont care know everyone hollywood &amp',GRP
'sister single thing obama said',IND
'know sure maybe tweeting lunatic planning next never president brainwashed r',IND
'allowed congress supposed check clown control congress folks write laws happen',IND
'maaaad annoy',IND
'niggas wanna live world world death literally',GRP
'bitch',IND
'white liberals black people black person tries order considered smart good teach',GRP
'#usa going little thinks grinning_squinting_face #maga #mbga #mcga #conservatives #patriots #mega #trump #democrats',GRP
'people died puerto rico corrupt',GRP
'game suck',OTH
'better li',IND
'every gets lower lower wanna nazi going pile maga bottom soon enough',IND
'liberal nothing bigot',IND
'unkind',OTH
'lolol a**hol',IND
'better idea whatever name resign &amp hell back hell people came sake countri',IND
'calls nobody',IND
'coming thats conservative political cant liberals liberals vile nasty opposing view',GRP
'gets closer november left full talking points forever amendment idiots',GRP
'leftist #maga',IND
'cant pervert zero disappointed',IND
'know exactly works steal money regulations taxes people cant thing government violence think democrats desperately need control want even power peopl',GRP
'dont watch games',IND
'theyre democrats right theyre hiding anymore #fakenews #maga',IND
'voters deserve voters maga',GRP
'realize party antifa complete lack self people dangerous',GRP
'democrats animals country power back',GRP
'democrats controlled major cities long theyve left others crime alternative life instead hand maybe teach bett',OTH
'trump doesnt want investigate claim trump reported trump raped culture dirty sexual perverted liberals thing ford anita hill white respect women',GRP
'deranged left make little boys really going happen pure evil #votedemsout #maga',GRP
'enough enough leader seems public serv',IND
'guys dont right hypocrit',GRP
'rape never happened lying word many women liar',GRP
'please first much seem asshole cant hear anything screaming obvious dont dude stfu',IND
'doesnt surprise texans hate liberals soros back',GRP
'&gttfw lesbian',IND
'control nuts allowed thing',IND
'keep telling think liberals believe need many million sitting budget fund',OTH
'belongs prison killing needs change control law',IND
'liberals sure love spend peoples money hope change really works well obamas really changed better liberals brain left theyd vote president trump',GRP
'sick peopl',GRP
'sure breath',IND
'exactly havent watched years refuse former think jerry jones disgrace people helped make rich',IND
'safety word control isnt anything safe control abiding citizens ignore laws wake folks need liberal vote patriots vote latin_cross united_st',GRP
'think calling idiots attacking ones took message',IND
'reputation reputation reputation away antifa activist good said useful',IND
'watch beat',IND
'found holding woman liberals insan',GRP
'sending funny aware sent death',GRP
'voted article',IND
'maga wearing traitors going post videos burning &amp',IND
'liberals complain time records anonymous wait criminal character good',GRP
'jesus christ liberals start young brainwash',GRP
'dont watch moron',IND
'another trying back back england shut',IND
'creepy hands little girls seen &amp wont talk disgusting pervert actions hate conservatives trump hillary shut away',IND
'good lord woman',IND
'fuck face_with_tears_of_joy red_heart',IND
'conservatives need',IND
'next years much conserv',OTH
'yall bitches',GRP
'fuck',IND
'corruption li',IND
'took away constitution congress refuses article taken away control laws anymore obama stupid',IND
'left antifa bunch bullies seems everyone nazi different opinion',GRP
'heart attack city keep',IND
'daughter parents hypocrit',IND
'deserved showed true behavior embarrassment arguing side thinks',IND
'lets treason laws remove holder',IND
'beat',IND
'obama zero worst president leader country hands shows liberal total loser dont know party nothing except complain trumps liber',GRP
'trump devil make sure part make sure doesnt voting definitely even scum earth',IND
'anything help thank #patriots #maga dont hear help share gotta place thanks folks bless',IND
'thought said cant true',IND
'shit hole corrupt liberals destroyed years years years',IND
'husband despicable person narcissist cares',IND
'mine stop crap proof conserv',GRP
'childish unprofession',IND
'america better jeff flake away',IND
'says white white people many shitty white people',GRP
'mentioned arrest corrupt mayor guess busy getting away',GRP
'deep disgrace abuse rights existence even mine knows life opportunist government people suck liberal dick left nazi',IND
'good mess',IND
'using safe argue liberals order help liberals interest perfect play process helping &amp process',OTH
'think belongs room trash making comments dont hear flag nazi',IND
'according liberals guilty unless proves wait trusted dare make claim woman women perfect',GRP
'pathet',IND
'guess really garbage liber',GRP
'#conservatives everywhere small town kids need first need know shouldnt held responsible something sleep night',GRP
'crook walking',IND
'total point anger liberals keep dont leave sorry parti',GRP
'actually terrible imagine proud getting people water arrested didnt want arrested awful person',IND
'word cause music theres reason shouldnt selling shows isnt',IND
'russia terrible terrible bitch texas piece shit million points first even western',OTH
'absolutely stupid never double',IND
'republicans sign plan fuck trump considering failure platform better republican',IND
'conservatives removed texas education looks theyre blind dumb',IND
'time tell type jump lefty someone fair chance policies either huge failure liberals result losing next election success',IND
'thats seeing want think people want look powerful useless thing mock',GRP
'democrats suffering trump desperate dirty tricks wont work #maga',IND
'thats dick energy',IND
'eric bal',IND
'total',IND
'friend isnt control',IND
'stop paying attention theyve',OTH
'shows world useless little brat whats nuts yeah',IND
'nonsense incapable straight news',OTH
'piece shit',IND
'telling knows bottom proof higher ne',IND
'dirty liberals november first clear left absolutely zero playing rules hope president trump joke party',GRP
'either shit somebody face_with_tears_of_joy',GRP
'butt',IND
'lack morals mother abortion murd',IND
'amazing liberals political agenda dont believe good feeling',IND
'democrats want control practice youll bett',GRP
'cause woman comes years later cant believed liberal outrage accused beating wife libs hypocritical liberals make sick',GRP
'mock disabled people funny maga crowd likes pick weak support powerful bullies wonder model',GRP
'jesus cunt',IND
'amazing dems dont feel keep illeg',GRP
'control failed rate dropped laws people dont really give shit though',IND
'dumb government allowed make entire even going every world',OTH
'know think theyre ones surprised think liberals want make ownership illeg',GRP
'well shes half right shit',IND
'media using criminals push control',GRP
'thats antifa theyre violent hide obviously support',IND
'makes look ignorant daily #maga without',IND
'bono always hand someone america never money',IND
'afraid liberals potus screaming keep truth dont want hypocrites &amp involved coup',GRP
'yeah thats kinda thing right proud boys wear saying nothing wrong antifa ones violent please actual fascist every time brought experience dude stop',IND
'hell last year',IND
'every social media platforms arguing racist isnt push gain power shit know exactly saying pretty liberal cant stand racism discuss',IND
'chicago already strictest control laws countri',OTH
'liar',GRP
'love liberals deal',GRP
'thats fucking',IND
'liber',GRP
'gonna death',IND
'honestly people seriously delusional good thing majority fans educated',GRP
'still anonymous times times refused name crap within #trump #maga',IND
'eyes fucking louder words smiling_face_with_hearteyes smiling_face_with_hearteyes purple_heart purple_heart',IND
'#thursdaythoughts admit twitter conservatives seems main feed stupid black return wont even back',OTH
'shame tennis stole serena proven draw racists cant',OTH
'stupid people tell cause bitch football games class literally everything knows exact numbers everything cause aint',GRP
'didnt start conversation trash talked yall stay',IND
'totally follow dangerous thank united_st',GRP
'agreed great idea wish remove existence #maga',IND
'amount shit fuck',IND
'many corrupt evil beings hold govt positions much corrupt &amp evil beings positions &amp majority point left fake conservatives &amp still walking',GRP
'voter puerto decent doesnt white liber',GRP
'real shit',OTH
'want conservatives plan even consider change using blatant lead people fault fucking sociopath',IND
'disgraceful innocent proven guilty happen li',IND
'know control worked refuse anyth',OTH
'everything said exactly need control saving lives nothing matters saving lives people second amendment right crying feelings away coward guns away coward',IND
'liberals jump dont believe process innocent proven anti american bunch',GRP
'dont care right left back bitch star office good',IND
'ugly hell something anybody wants look',IND
'united_states #usa #maga #americafirst #trump',IND
'times dropped kicked back feet aint face_with_tears_of_joy',IND
'even antifa page couldnt deal shit',GRP
'comes pain united_states united_states united_states united_states #wwg1wga',IND
'hell think little',IND
'america isnt military husband didnt battle died home fighting control stronger laws mental police educate issu',OTH
'david stop anti people nothing looking remember antifa radical left groups violent hurt people course',IND
'called everything person women racist antifa members haha pretty common fraud gets start calling ones hilarious',GRP
'funny assume left antifa even though dislike nazis youre still',IND
'know youre model',IND
'dickhead thatface_with_tears_of_joy',IND
'catholic church house demon',OTH
'juan needs check completely control',IND
'funny',IND
'hell liberals move california build wall',GRP
'democrats dont care anything president trump people better realize serious getting vote suffer liber',IND
'antifa dont conservatives medicare going antifa protest',OTH
'hell left already hates enough black conservatives arent liked country comment fight',GRP
'disgusting',IND
'follow maga patriots united_states united_states united_states united_states united_states united_states united_states united_states united_states united_states united_states united_states united_states united_st',OTH
'know whole people whole bullshit right youll feel responsible happened today already damn much know good great lov',GRP
'obama never killed chicago every week chicago ground control laws working watch blame',GRP
'called education health care major strict control',GRP
'suck dick offer insult',IND
'dont fool republicans need decide going good people need know kavanaugh going make first happen',IND
'movement giving away mine claims took still relevant show standing another bitter home',IND
'shit',OTH
'fair point didnt make meme couldnt sucks many politics funds antifa black lives matter divide people tear country apart',GRP
'vicious republicans hearings liberals response liar claim republicans defending info real women dont #kavanaugh',IND
'biased conservatives conservatives',GRP
'swear shit r',IND
'“casually fucked”',IND
'something getting really high quality draw really boring fucking someth',OTH
'dare',IND
'cute girl crush year called funny want throw',IND
'control anti havent seen single attacking thats create fear',GRP
'police department shit cute open',IND
'either liberals shame',GRP
'said niggas round',GRP
'sucks loudly_crying_face',IND
'needs light',IND
'democrats havent done anything cover think solution want control abortion control free free quit',GRP
'poor baby entire network trusted people still watching brainwashed liberals',GRP
'maxine town loser jok',IND
'kept seat open year fair push kavanaugh nominee american people deserve better woman deserves bett',IND
'really cant hypocrisy antifa obvious drunk cool',IND
'care going prison prison',IND
'free speech alive well social media platforms strict opinions',OTH
'wonder victim',IND
'cares great deal number people died irrelevant long doesnt look sure blaming democrats trumps lack empathy inability responsibility',IND
'miss head total lack control',IND
'always knew biden obama felt conservatives shocking easily admit wonder hatred violence left',GRP
'worries known',IND
'shit togeth',OTH
'back rock',IND
'people living place moment moment everything shit feel stronger people successful educated clean violence death',OTH
'antifa much much white america responsible violence nazi',GRP
'ford parents politicians going people come stories years cant proved senator shes reason women hard time life aint',GRP
'acting spoiled brat women need sort help',IND
'fuck',IND
'hell talking anything stop maga',GRP
'trumps promise border wall control innocent lives taken',IND
'time maga',IND
'shes killing babi',IND
'seems events control safety debate believe state pass laws schools better protection events order push agenda',IND
'cant write away stupidity liber',GRP
'exactly sound complete shit tell',IND
'sorry break bible actually ancient bible isnt claims inability said claim',OTH
'nigga everywhere face_with_tears_of_joy face_with_tears_of_joy cant escape tim',IND
'embarrassing wonder women raped',GRP
'wont hear claims years record many times pile shit room #maga',IND
'ugly dumb woman',IND
'liberal anyone give disgusting including liberals bullshit',GRP
'fired dead public fake news dont show crowd scared cant stand fire',IND
'think hypocrite evil vot',IND
'really sucks control',IND
'dogs children terms #maga',IND
'physically threatening boys completely name wasnt honestly saying shit course said fucked least death threats',IND
'lies republican',IND
'antifa think stupid told white stands thanks',GRP
'probably think hope little hearing hope prove liar witch rest liber',IND
'another sick liberal',IND
'antifa known nazi never thought theyre ones call everyone nazi anyth',GRP
'americans need realize rape kill easily environment absolutely close borders proper',OTH
'long biggest exposed corrupt fake lying',IND
'convenient conservative believes people always type propaganda conservative beliefs conservatives dont learn think',GRP
'cant wait kavanaugh throw control garbage belong',IND
'coward',IND
'flake flake dont senate door behind',IND
'isnt understand general population sort holding',GRP
'still dont keep dregs society support donald trump #maga',IND
'dont support control texas long beto',OTH
'hope whoever gets kick want someone theyre liberals worst nightmare everyone look back really fucked dont protesting kavanaugh still protesting trump',OTH
'thought dislike anyone father wrong even pathetic children must proud father',IND
'face_with_rolling_eyes shes claiming rape said wont background checks anything found investigate something doesnt even know #maga',IND
'watch music video love dumb',IND
'feel face never change right',IND
'conservatives want talk really lets started lets busy chicken',GRP
'know care control done nothing help children fight america vote help kids school vote trump li',IND
'fine wants wouldnt work actually money wasnt daddy',GRP
'honest enforcement sexual high school funny american citizen didnt vote #maga',IND
'really horrible show hundreds antifa didnt kill',OTH
'serious investigation womans motives behind political kind shit never done anyone conservatives bullshit',GRP
'asking blatant truth control country criminals fear government',OTH
'insane antifa democrats violent domestic terrorist group',GRP
'hell talking threats coming control nuts made kid',IND
'hell rights hell support special interest hell trump hell destroy american healthcare hell favor &amp stop control hell vote rights hell',GRP
'nothing lose',IND
'truth need threaten even control seriously talk',GRP
'shame willing ruin good accusation cant prove theyre liberals dont want supreme court justice follow constitution politics sham',GRP
'needs away face',IND
'hell queen believe less less every pull youre nothing lying #maga #trump2020',IND
'maybe smart enough tired getting',IND
'horrible record control give fuck record horrible theres stupid shit',GRP
'coming sick liberals beast',OTH
'probably violent liberal antifa full force showing much really care humans nope never fall fake garbage long strangers beat thugs',IND
'#trump walking towards crowd love moment honest nothing actor call control',IND
'thanks bitch believ',IND
'planning 2020 lost mind',IND
'asshole much nerve',IND
'talk court liberals want word able destroy another life nothing back youre sick',IND
'hair asking pussy getting thinking trying hide worst #maga',OTH
'lose entire thing block kavanaugh conservative side trump liberals playing games cant youve brainwashed media',GRP
'ashamed michael moore start term internet called troll think ancient troll coming liberal ignor',IND
'speaks nothing think fool',IND
'shit',IND
'fucking abuse everyone appears people movies people think fair',IND
'believe asked people vote mentally',IND
'reason liberals sick',GRP
'facts hate trump liberal activist makes year claim completely character judge kavanaugh shouldnt question total scam liberals turning jerry show',IND
'jokes funny person saying doesnt really hate whites christians thats national past time liberals days funny farrakhan crowd racist crap',IND
'1001',IND
'much jail whole family',GRP
'game',IND
'thought werent funny comedian',IND
'going start socialism control',IND
'liberals vile vicious disgust',GRP
'plain stupid thinks shes come next public make tories political come',IND
'hilarious liberals think theres using senate rules keep nominee voted bringing someone accuse nominee sexual assault years showing',IND
'republicans brain rock',GRP
'satan',IND
'need leave shit past tweet literally',IND
'always thats traitors clearly deep state state swamp whatever wish call &amp elections #maga',GRP
'carrey shut good',IND
'didnt think sorry true obama screw american peopl',IND
'time press federal criminal charges eric holder swamp scum',IND
'suffer fools people lazy read learn',GRP
'losing believes speak well part crooked trump done president',IND
'control working chicago military access assault weapons ignorance still working',OTH
'youre fucking idiot',IND
'sick individual dont care pope trash pick sick bring',IND
'thank stupid events serve help republicans 2018 2020 elections #maga',GRP
'better watch morons hands least accusation sexual harassment charges skin',IND
'worst presid',IND
'real life character love respect shit keep',IND
'gain understanding hatred putting #maga ignorance platform putting youre going hatred return',IND
'biggest thing fail',IND
'gonna',IND
'girl bitches',GRP
'reading right thats says believe still stay going even docs released public wont covered media nobody know',GRP
'believe sides terrible doesnt honestly look conserv',GRP
'conservatives literally tried argue rights cause western used fall example somehow want didnt',IND
'hitler proud david',GRP
'killing early sitting late looks going miss suck',OTH
'call negative lives brain constantly battle creep',IND
'chicago already control laws country democrats want disarm abiding citizens criminals always gun',GRP
'liberals dont address insult attack',GRP
'many bringing fight ended case state cant stomach level every know',GRP
'nice true life trump haters funny thing trump done everything good americans america anti americans trump amazing people trumps evil liberal democrats &amp band haters antifa blue',OTH
'telling antifa shits dropped less bett',IND
'damn ugli',IND
'either crazy stupid straight lying people return policy',IND
'really talking nonsense talk bible',IND
'tactic left actually tactic used decades playbook right democratic socialist antifa #maga #qanon',GRP
'awesome plan next gonna pulling money medicare &amp stay never time #maga',IND
'kind feel antifa maybe',GRP
'still though confirm done though',IND
'holder prison',IND
'youre saying official suppose back every rule silly argument line called thats saying didnt thrown thrown',IND
'pres trump right release docs proves investigation biased almost later mueller nothing trump liber',IND
'pathet',IND
'shot calls control research uneth',OTH
'called said great ideas thought actually puppet',IND
'kind mean woman says pretty young ugly never look thing makes look',IND
'shit doesnt feel real life dont',IND
'liberals truly absolutely disgust',IND
'think donald trump disgusting disgraceful shame thinking much puerto rico failed failure called president nothing talk puerto doesnt understand',IND
'speaks filled holy',IND
'democrats bring back nazi tactics nazi brown shirts form antifa',GRP
'attempt later life certain guess bono made clear thinking_face thinking_fac',IND
'remember young mind',IND
'moore allegations past #maga tells beyond years jeff hands head rabbit rabbit rabbit',OTH
'com',IND
'anyone expect anything less fool incompetent hair fire libs cost people lives blame pres trump',IND
'cunt',GRP
'lmao dumb pile said give',IND
'first ones calls robbed people freaking stupid face_with_rolling_ey',GRP
'dont feel sorry even amount dumb kids keep watching playing games',IND
'screw keep shit honestly face_with_tears_of_joy',IND
'bitch',IND
'crazy things liberals blame trump unhinged blame everything presid',GRP
'think found',IND
'social proper everyone knows white trash little money know makes everything always',IND
'sides white shouldnt hard sides wrong side stop trying antifa white makes look white',GRP
'shit niggas told seen lmaoooo man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone kinds shit',GRP
'girl called tryna call ugly show ugli',IND
'youd know isnt women democrats dont call justice women assaulted democrats evidence &amp police youd know dems demand conservatives found guilty upon accusation youd know polit',IND
'right nerve bitch antifa',IND
'common sense control racist',GRP
'democrats double hypocrisy #maga #confirmkavanaugh',OTH
'texas doesnt need liberal everything liberals touch turns crap',OTH
'#metoo ruined hateful democrats disgusting ruin everything touch #maga',GRP
'unfortunately real democrats feel blacks socialism making citizens government conservatives never happen kind treason',GRP
'tells minions says rest world different things keep raping killing stupid liberals think dont taken lies next years india',GRP
'hell yeah',IND
'risk',IND
'democrats becoming despicable bottom lies liberals along makes sens',GRP
'right anymore nonsense going keep following others dangerous society biggest fake going proved rest antifa bloody danger',GRP
'trash',IND
'breatge kpop stan nigg',GRP
'rats pulling anita hill judge kavanaugh confirmation work communists destroy #maga',GRP
'troll simply dumb love rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laugh',IND
'hillary blaming women long better hope dont show vote isnt much liberals ignorant know many things',IND
'support bomb',IND
'fuck right',IND
'really sucks liberals refugees anyone isnt uses',GRP
'thats blatant antifa worse hate group look university california nearly destroyed wasnt white free speech',GRP
'slap shit',IND
'listen robbed american taxpayers millions dollars gave iran',IND
'well better looking lying',IND
'hate really takes people physically unhinged liberals look well 24/7 fake news sucking life people feel',GRP
'presidents presid',IND
'yeah control uses black people',GRP
'found today jesus isnt white cant church cant watch football damn obama liber',OTH
'happens next whoever votes gets destroyed vote republicans senate liberals worst',IND
'sucks asked play never back suck',IND
'liberals rules time',GRP
'liberals dont give rats power period everything doesnt',OTH
'must forced church needs bottom',OTH
'#republicans #conservatives step confirm scotus judge step eliminate womens choice step eliminate whites voting rights step eliminate womens voting rights step',GRP
'dont support medicare voted dreamers voted racist police bill voted give donald trump even military budget didnt thing control voted racist',GRP
'doesnt matter said correct anyone stupid life lives based fool',IND
'feinstein political thank able give conservatives need back hard political crimin',GRP
'active know think dangerous fool maybe 100% racist military support',IND
'insulting black fully getting makes think cant lets honest liberals white want protecting vot',GRP
'&amp thats dont mind people everyone lif',GRP
'miriam',IND
'cant fact delusional think something effect country come first illeg',OTH
'dumb look',IND
'case fucked good book',OTH
'(and shit eric',GRP
'clown_fac',IND
'hate democrats fight everyday making much dont give damn want ready #maga party trump elected 2020 keep democrats till 2020',GRP
'story lying liberals thinking_fac',IND
'conservatives believe attempted rape form thats getting look past wont believe',IND
'youre full liberals paid soros th',GRP
'area didnt money attempt money proved isnt scam',IND
'thats exactly evil liberals people step guess bullying done liber',GRP
'course shes making money situation values',IND
'move ahead kavanaughs without legal constitution &amp horrible says wait info &amp',IND
'fuck cover american politics canadian politics fucking disgrace report news news stuff makes conservatives look ignore stuff makes liberals look',GRP
'years later liberals wants away',IND
'nigga damn',IND
'yeah ruin fucking hype werent',IND
'wonder antifa streets find corrupt govern',OTH
'thats silly made popular fuck',IND
'well ignore giving attention child never good enough body love attention post',IND
'glad wear control stop crimin',GRP
'zero evidence love seeing liberals shit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'democrats goes around thats done conservatives play rules fucked every tim',GRP
'lock wait blatant somebody scared trump gets hang cant imagine feeling makes',IND
'question argument sensible control another shooting truly believe push',IND
'liberal illegal immigrants dreamers trump supporters deplorable dregs ms13 killers human beings babies womb human beings abiding terrorists bill clinton feminist brett mental',GRP
'liberals sick peopl',GRP
'another attempt dems hide truth abuse women movement women #metoo another soros groups antifa',IND
'antifa burn conservatives house &amp throwing',GRP
'played straight fucking garbage mean last year much scared death start',IND
'understand sound love money bastards',GRP
'thats liberals morals anything goes kind drugs child',OTH
'arrest crazy democrat',IND
'dont mess dont mess',IND
'cruz thinks voters stupid says beto state texas #resist #maga',GRP
'right politics place',GRP
'fuck disgusting animals shit',GRP
'show getting tories ridiculous',IND
'pretending libs #maga',IND
'think blame control',GRP
'crap anyone want save crap',IND
'loud maga merch dont shit nike anything kiss',IND
'really wanna bring personal work dont wanna seem apple',IND
'cant stand listen change speaks believes nuts #walkaway united_states united_states #maga united_states united_st',IND
'come long line bigots morons hard first gets better decent realize bett',GRP
'comparing government enforcement subject constitutional laws private yeah makes sense wait stop talking complete',IND
'',IND
'unhinged going conservatives making money process smart knows &amp liberal left good business days &amp',IND
'love',IND
'another anything',IND
'#liberals continue shows dont mentally',GRP
'every time hate feeling happens fuck',IND
'didnt read whole thing white mass arent even considered theres agenda murder',GRP
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy communist fool',IND
'antifa behaviour',IND
'cares leader report lefty left promoting trudeau liberals liberal party sham',OTH
'democrats left liberal judges conservatives every liberal judge investigated back school',IND
'never never know truth maybe first really stupid grab either doubt know complete truth',IND
'rest lif',OTH
'terribl',IND
'amazing much money thrown liberals freaking beto everything wrong america vote cruz',GRP
'forget monster think',IND
'bono turn refugees asshol',IND
'nothing lying human waste paid left turn',IND
'yeah sure youll wait certain amount time talking control right sure youre saying thing people using dead push laws nothing right',GRP
'biden thats phony actor stage time come &amp gone care less preach',IND
'nigga',GRP
'president liber',GRP
'hopefully hate leftist stop saying stupid stuff',IND
'legal immigrants 100% correct follow worked damn hard wont anything risk illegals contempt laws pull 24/7',IND
'liberals didnt want hear liberals dont want hear keith double standard',IND
'thats today dont know thought thinks everything wont able forget horrible things',IND
'complaining comments blames media feeling certain actually reading article basically saying doesnt know shit basically shut mouth',IND
'didnt raped daughters friend years long committed',IND
'witch',IND
'traitor',IND
'louder fellow #maga horrible insult',IND
'idiots actually listen suck',GRP
'hillary clinton',IND
'swear seems shit show fans hospital heart attacks',IND
'live utter conservatives nothing people living social housing look &amp need speak louder words &amp tory words empty',GRP
'name calling disabled shame know subject making',IND
'hate much presid',IND
'blind fool make america great america first americans understand difference people voted donald trump obama policies complete failure lets seat back show starting obama',OTH
'know know going choose daughter wanted',IND
'farrakhan white people blue devils even said',GRP
'carrey looking',IND
'fuck complete moron',IND
'thats lindsey uses butt',IND
'fuck',IND
'least dollars american people people full hatred american people cant trusted look people trusted',IND
'another story watching football',IND
'united_states #lockthemallup #wwg1wga united_states #winning #qanon #maga knows going',IND
'drugs shit taxes unconstitutional control law',GRP
'never watch movies',IND
'election tell antifa expose',IND
'proves liberals shame proven liar nerve speak',IND
'devil made ugly face liberals feel sorry innocent honest ones brainwash',GRP
'dems kavanaugh hearings bring common sense control time time chicago chicago laws country violence capital dick',GRP
'lump',IND
'carrey becoming weird',IND
'dogs',GRP
'apparently socialist kind label successful much higher morals society dumbest follow',GRP
'#lockthemallup #maga',IND
'left liberal progressive show democrat party &amp ideology lying public calling',IND
