@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'proven establishment supporters said world support trump blocked following youtub',NOT
'brother antifa warrior thank clear',NOT
'shit doesnt feel real life whack dont begin',OFF
'ladies street loud talking anyone listen please away',NOT
'ador',NOT
'woman side years nothing vote gone gone even party supporting vot',NOT
'mention amount taxpayer dollars spent taxpayers funded armed protection control kamala harris breitbart',NOT
'happy feeling',NOT
'really claim never said experienced',NOT
'liberals truly stunt absolutely disgust',OFF
'think donald trump disgusting disgraceful shame thinking much puerto rico failed failure called president nothing talk puerto ricans doesnt understand',OFF
'check antifa registration',NOT
'love support many people even strangers alon',NOT
'#thursdaythoughts hollywood liberals love socialism dont multiple give multiple income families hom',NOT
'exact',NOT
'antifa l',NOT
'thanks sums serena exposed facts liberals hate fact',NOT
'world wide',NOT
'civil control even seen twitt',NOT
'face democrat party bullying republican party shes rich lives district poverty shes dictator district',NOT
'speaks filled holy',OFF
'including staff',NOT
'democrats bring back nazi tactics nazi brown shirts form antifa',OFF
'seriously freak',NOT
'attempt later life certain guess bono made clear flushed_face thinking_face thinking_fac',OFF
'ratings people &amp making conservatives reason trump people dont &amp pitiful &amp sham',OFF
'teacher remember young mind',OFF
'conservatives working boot learn stop #tuesdaythoughts',NOT
'going plac',NOT
'week fish best liar',NOT
'watch please james &amp discuss antifa #resistance actually using positions target specific american',NOT
'glass',NOT
'liber',NOT
'come minions dont talk control lives lost city cincinnati looney shoots city council wants talk control',NOT
'dealing liberals cause dont care gets hurt long want #confirmkavanaugh',NOT
'trying stay relevant thought cats side kidding self thinks worried wednesday instead final',NOT
'beauti',NOT
'bright star',NOT
'',NOT
'moore allegations past bezos bunny satire #maga bunny tells beyond years jeff bezos hands head dinner rabbit rabbit rabbit',OFF
'com',OFF
'attention target list antifa twitter account lists list high profile names names everyday trump supporters please check list name suspended account',NOT
'antifa facist dont mean fake title facist',OFF
'anyone expect anything less fool incompetent hair fire libs cost people lives blame pres trump',OFF
'debate moving streets side effect failing address questions need answer &amp violence #antifa mobs oppose issues answers quest',NOT
'tweets conservatives retweeting comments suddenly theyre talking original tweet longer available anyone not',NOT
'ball',NOT
'cunt',OFF
'lmao dumb forgive pile said give',OFF
'first ones calls robbed double_exclamation_mark people freaking stupid face_with_rolling_ey',OFF
'vacation #wwg1wga #maga',NOT
'thought point',NOT
'dont feel sorry greedy even hides amount dumb kids keep watching playing games',OFF
'screw keep shit honestly face_with_tears_of_joy',OFF
'cold bitch',OFF
'crazy things liberals blame trump unhinged blame everything presid',OFF
'supporting control',NOT
'hope land libtard dont think conservatives watch garbage idiots make living playing dress grow move real world vote republican',NOT
'think focused found',OFF
'thank good trying approach addition others often issue used excuse please report become known thanks',NOT
'texans dont advice liber',NOT
'didnt president already make offer',NOT
'college professor cali resist antifa burn riot cali colleg',NOT
'hope shit doesnt become keep beef least call yell',OFF
'face_with_tears_of_joy face_with_tears_of_joy much appreci',NOT
'forbid already talking someone dating real face_with_tears_of_joy people reason sorry bout face_with_tears_of_joy',NOT
'haha dont believ',NOT
'social proper everyone knows white trash little money know makes everything always embarrass',OFF
'sides white supremacists shouldnt hard sides wrong side stop trying antifa white supremacists makes look white supremacist',OFF
'diversity makes strong',NOT
'liberals jump',NOT
'needs pack',NOT
'#antifa gets pass',NOT
'shit africa niggas told seen size lmaoooo man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone kinds shit',OFF
'girl called tryna call ugly show ug',OFF
'good',NOT
'dude straight point trying bigger young',NOT
'youd know isnt women democrats dont call justice women assaulted democrats evidence injury &amp police reports youd know dems demand conservatives found guilty upon accusation youd know polit',OFF
'never said prove fans working hard',NOT
'accurate history ancient made dont claim know start looking history theres fucking proof changing',OFF
'route believe accusations conservative conservatives saint',NOT
'said right forward read',NOT
'stay conserv',NOT
'three allegations dems screaming pattern women came forward supporting kavanaugh pattern good behavior allegations must heard happened timing suspect think #maga',NOT
'right nerve bitch antifa',OFF
'really pisses california voting control many know better especially knew someone businesses destroyed riots least salty hasnt forgotten',NOT
'liberals attack private lives cant attack polici',NOT
'pretty sure brutal world',NOT
'conservatives winning turn liberal youre admitting cons failed',NOT
'nothing cake cant believe tim',NOT
'liber',NOT
'pick',NOT
'many heavy metal conservatives believed freedom money others truly believe helped cold',NOT
'common sense control tone racist',OFF
'democrats double sided hypocrisy #maga #confirmkavanaugh #pjnet',OFF
'charge people know good pictures cant keep youll',NOT
'around rolling_on_the_floor_laughing clown_fac',NOT
'said thing christians create ford stormy daniels tell stories dont (not counting antifa) happening weird least vil',NOT
'instead taking actions help parents push forward control legislation work muslim travel trumps bigoted bidding without question',NOT
'dear pope francis shame',NOT
'texas doesnt need liberal everything liberals touch turns crap',OFF
'liberals completely lost anything opposing presid',NOT
'absolutely know dems want votes coming pushing happen care paycheck position need term minutes terms potus',NOT
'always evidence special #maga',NOT
'elections consequences left continues direction heading another long time',NOT
'announced releasing',NOT
'looks #antifa say',NOT
'smiling_face_with_smiling_eyes hope enjoying learning lots beaming_face_with_smiling_eyes collision face_blowing_a_kiss',NOT
'#metoo ruined hateful democrats weaponized disgusting democrats/liberals ruin everything touch #voteredtosaveamerica #maga',OFF
'unfortunately real democrats feel blacks socialism making citizens government conservatives never happen kind treason amend',OFF
'smiling_face_with_heartey',NOT
'mental case sur',OFF
'appreci',NOT
'wont hell mcconnell never mention good accomplish',NOT
'good look forward seeing #maga',NOT
'tells minions says rest world different things goons keep raping killing stupid liberals think dont taken lies next years india disappear',OFF
'control come allowed tweet idea first plac',NOT
'hell yeah',OFF
'hell',NOT
'risk',OFF
'climate change education healthcare reform economy control issues immigr',NOT
'beautiful bless red_heart red_heart red_heart',NOT
'best booty everything stunning love want deep',NOT
'love another love first rain away',NOT
'sure left lost faith everything seems north removed called well spoke &amp press contradict',NOT
'democrats becoming despicable bottom lies barrel liberals along makes sens',OFF
'getting death threats owns graham',NOT
'right stopping anymore nonsense going keep following others dangerous society biggest fake going proved rest antifa bloody danger',OFF
'afraid right',NOT
'describes bill clinton perfectly liberals',NOT
'repeat',NOT
'saying need problems much looking answ',NOT
'thats used remove hold',NOT
'trash',OFF
'stan',OFF
'reaction looking head mess happen',NOT
'antifas busy lately seem',NOT
'type beat youre leaving already',NOT
'changed tshirts changed tshirts changed tshirts #resist changed tshirts #antifa spread democrat viol',NOT
'wrong didnt vote doesnt mean didnt shut voted majority means minority actually liberals similar position vote wise three major',NOT
'help every citizens whether republicans democrat',NOT
'looking shooting maryland info feed nothing protest want anything know female #maga',NOT
'rats pulling anita hill trick derail judge kavanaugh confirmation work communists destroy #maga',OFF
'indeed wonder called beauty eyes every soul star',NOT
'clearly admitting names cast reason thinking_face thinking_face thinking_fac',NOT
'arent principled conserv',NOT
'democrats soft crime soft border security cant illegal aliens call criminal alien',NOT
'fake conservatives fake outrage budget betray',NOT
'beauti',NOT
'troll simply dumb enjoying love rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laugh',OFF
'understand stuck understand',NOT
'hillary blaming women long better hope uneducated dont show vote isnt much liberals ignorant know many things',OFF
'support blessings bomb',OFF
'word something didnt',NOT
'likely antifa thug interview press',NOT
'think scare conservatives party line people long people agre',NOT
'horse fuck right chasing bell',OFF
'security wants show transparency instead release tax',NOT
'#trump despicable behavior human #maga',OFF
'sorry loss everyone blaming control still amazing person keep head',NOT
'really sucks commies liberals refugees anyone isnt uses precious dollar',OFF
'public horrible trump white hous',NOT
'registered democrat thats need know',NOT
'mock liberal crossing floor join conservatives evidence basically parti',NOT
'enjoying williams &amp crowd tantrum',NOT
'thats blatant antifa worse hate group look berkeley university california nearly destroyed wasnt white supremacy shutting free speech',OFF
'slap shit outta',OFF
'listen robbed american taxpayers millions dollars gave iran',OFF
'well better looking lying',OFF
'hate really takes people physically unhinged liberals look well 24/7 fake news coverage sucking life people feel',OFF
'mean',NOT
'presidents photos worlds presid',OFF
'nothing good scratch',NOT
'youve seen reports might know look many businesses closed coalition talk training people busi',NOT
'didnt look placing next fucking headline',OFF
'yeah control uses black people text',OFF
'found today jesus isnt white cant church sunday cant watch football damn obama liber',OFF
'happens next whoever votes gets destroyed vote republicans senate ensure victory barrett liberals worst',OFF
'cant rights companies people give people liberals alternative size fits mainstream',NOT
'happy heart_suit heart_suit amazing better great',NOT
'sucks asked birthday play never back suck',OFF
'games thought fire reason',NOT
'dude whoever aged long time better utah',NOT
'trudeaus liberals rules time',OFF
'love liber',NOT
'think people seen elected find asking liberal',NOT
'southern california shootings kills self another mass shooting learn past time something control',NOT
'liberals dont give rats power period everything doesnt',OFF
'states went save online abuse wants live peace taking case back asking attend hearing statements act',NOT
'francis must forced aside church needs bottom',OFF
'',NOT
'scheme living pretti',NOT
'read thread seemed imply views actions soros everyone left left support antifa)',NOT
'#republicans #conservatives dreams step confirm scotus judge step eliminate womens choice step eliminate whites voting rights step eliminate womens voting rights step immigr',OFF
'know period',NOT
'dont support medicare voted dreamers voted racist police brutality bill voted give donald trump even military budget didnt thing control voted racist loans bil',OFF
'best purple_heart',NOT
'doesnt matter said correct anyone stupid life families lives jeopardy based fool',OFF
'slowly conservatives came power done',NOT
'rainbow every',NOT
'choices confirm &amp possibly lose house dump definitely lose house &amp supporters #walkaway #maga #confirmkavanaugh',NOT
'feinstein schumer political thank heavens able give courage conservatives need back hard political crimin',OFF
'false released names russian',NOT
'wife thrilled trump conservatives win',NOT
'active personnel know think dangerous fool maybe 100% racist military support',OFF
'know bett',NOT
'love',NOT
'read understand hitlers photo mike moore buying',NOT
'insulting black fully capable getting makes think cant lets honest liberals white want appear minorities protecting vot',OFF
'heres incorrect less trump raising taxes democrats raising taxes democrats &amp republican &amp &amp conservatives &amp short people &amp tall peopl',NOT
'calm &amp patient thats dont mind people everyone lif',OFF
'miriam',OFF
'deserv',NOT
'guilti',NOT
'conservatives &amp sure know',NOT
'he/she deserves hope antifa follow',NOT
'exactly hasnt everyone figured threats occur liberals conservatives around plain simple made pile_of_poo sympathy keep false narrative go',NOT
'feed children birth control opinion reason control',NOT
'week ahead bless president #deplorables #maga #kag',NOT
'demoncraps cant fact delusional think something effect country dreams come first illeg',OFF
'lets throw added tape highly qualified people entering already world politics look hate directed trump family dont care returns universal financial report care result',NOT
'call time call showing level might club score give ch',NOT
'frankly hate argument control healthcare student loans policy climate change social security medicare even clear difference every polici',OFF
'alon',NOT
'thinking week britain century economy',NOT
'back thank much hope',NOT
'standing trump strong maga',NOT
'',NOT
'dumb look',OFF
'curious case fucked fees good book',OFF
'something different shit every time watch',OFF
'yeah lets control piece white male americans stop shooting places protect american',NOT
'(and shit eric',OFF
'liberals hate america cant stand thought successful countri',NOT
'democracy',NOT
'forget antifa threats conservatives',NOT
'clown_fac',OFF
'cell phone must email didnt notice email havent seen well wondering give email address friend',NOT
'hate democrats fight everyday making much dont give damn want ready #maga party trump elected 2020 keep democrats till 2020',OFF
'absolutely nothing',NOT
'brazil',NOT
'story lying liberals witness thinking_fac',OFF
'mess',NOT
'mean utter contempt showing businesses virtually screaming economic suicide mark words start already small companies moving cost leav',NOT
'conservatives believe attempted rape form thats getting look past wont believe',OFF
'fuck',OFF
'tell',NOT
'principled conservatives idea winning 2016 presidential election fact vot',NOT
'real stuff killing control smarter answ',NOT
'kind shocked gone feed least',NOT
'already guns control free people right defend families threat lethal force good crimin',NOT
'youre full liberals paid soros th',OFF
'area didnt money attempt money proved isnt scam',OFF
'fire smiling_face_with_heartey',NOT
'students parti',NOT
'thats exactly evil liberals intimidate people step guess bullying done liber',OFF
'clarence thomas democrats served well haters gonna hate conserv',NOT
'course shes making money situation values pow',OFF
'move ahead kavanaughs without information legal violated constitution garland &amp horrible candidate says wait info &amp sur',OFF
'whats issue antifa',NOT
'conservatives send opposition taxpayer popular vote prime',NOT
'fuck cover american politics canadian politics fucking disgrace report news news stuff makes conservatives look ignore stuff makes liberals look',OFF
'sandy hook used public support stricter control',NOT
'years later liberals wants away',OFF
'nigga fish peace damn',OFF
'recognize #antifa based board becomes rolling_on_the_floor_laugh',NOT
'obstruction call vote #maga united_st',NOT
'looks control working well sh*t hole country laws working shootings murders america guns people brazil',NOT
'happy remember beautiful',NOT
'antifa peaceful',NOT
'obviously doesnt car',NOT
'insane leftists liberals democrats know scared hell right body explain illegal sell body feed children',NOT
'holy shit michael',OFF
'glad hear father went cancer last year years contributed',NOT
'coming person',NOT
'dont understand heard heard pictures left middle badly #kavanaugh #maga',NOT
'much trade valu',NOT
'poster child',NOT
'yeah ruin fucking hype werent invited finished',OFF
'look damn beautiful outfit',NOT
'heres fuck',OFF
'read term broad group feminist whatever many cases focus particular extreme group wave feminism without fact',NOT
'scari',NOT
'wonder antifa rioting streets find corrupt govern',OFF
'thats silly made popular fuck',OFF
'well ignore giving attention adorable child never good enough body love attention post',OFF
'glad wear control propose stop crimin',OFF
'vote november #gop #redwave #trump #maga united_st',NOT
'zero evidence love seeing liberals shit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',OFF
'democrats funding goes around thats done conservatives play rules fucked every tim',OFF
'person lies lying member congress says judge step great liber',NOT
'conservatives liberals person make presidential nominee person trump seems',NOT
'strange left antifa always quiet attack white people terrorists attacks done lets forget gang',NOT
'right last statement asking friend',NOT
'lock wait blatant somebody scared trump gets hang cant imagine anxiety feeling makes smil',OFF
'john kerry running mouth cared cant think single damn thing kerry accomplished besides mouth trumps accomplishments anything kerry dream even becoming presid',NOT
'flawed logic liberals identify christian america religion look stats make crazi',NOT
'hmmmm think shouldve held longer might face hear nam',NOT
'cute',NOT
'ignored question crucial argument sensible control imposed another shooting truly believe push',OFF
'incredible person know wont',NOT
'know well race liber',NOT
'month said trying stop appointment cory booker talk',NOT
'wonder needed bring point didnt mention anything seems talking rac',NOT
'produce fact right wing really',NOT
'youre fascists antifa',NOT
'earlier said determined going confirm judge kavanaugh behalf liberals fault work basically said serious accusations potential assault mention li',NOT
'thats almost idiotic antifa disarm th',NOT
'jimmy clear ensure tear fre',NOT
'liberal dictionary illegal immigrants dreamers trump supporters deplorable dregs ms13 killers human beings babies womb human beings abiding terrorists bill clinton feminist brett mental',OFF
'yeah thinking might working kaycee convinced wont target need',NOT
'dont believe talk conserv',NOT
'liberals sick peopl',OFF
'another attempt dems hide truth abuse women movement women #metoo another extension soros groups antifa double_exclamation_mark',OFF
'experience control activists dont really want conversation want around open expand rights exchange whatever theyre looking cant really conversation without',NOT
'antifa burn conservatives house &amp throwing',OFF
'obama need done rolling_on_the_floor_laugh',NOT
'still half work days computer lmao',NOT
'#conserv',NOT
'nice',NOT
'boycott lets bring kne',NOT
'really supposed believe party violent liberal antifa hoods beat hell strangers know nothing somehow care supposed trust party funds antifa tell truth subject',NOT
'lets antifa',NOT
'played straight fucking garbage mean last year shown much scared death start',OFF
'#guncontrolnow running piece safety young people promotes responsible ownership doesnt sell socalled assault weapons targeting clear control',NOT
'fight antifa major likely',NOT
'understand sound love money bastards cat_face_with_tears_of_joy',OFF
'means expert control congress',NOT
'even trying system idea folded_hands answered president trump united_states united_st',NOT
'problem trying cant quite understand tri',NOT
'protection rights opposite rights control right',NOT
'doesnt care hurts long happy anyone attend sham church',NOT
'whos face_with_tears_of_joy united_states #maga',NOT
'stand kavanaugh united_states maga',NOT
'dont believe schools believe common sense control',NOT
'#democrats #liberals dont give damn allegedly physical violence rush discredit kavanaugh year 11th hour accusation #walkaway #hypocrit',OFF
'fine lets violence control',NOT
'#democratshateamerica #votedemsout #voteredtosaveamerica liberals &amp true #conservatives &amp chose #walkaway prove #liberalismisamentaldisorder needs #votered2018',OFF
'christian',NOT
'thats liberals morals anything goes kind drugs child',OFF
'something wrong went wrote something accusing things danger',NOT
'arrest immediately crazy democrat',OFF
'control skills need work missed foot half',NOT
'dont mess dont mess',OFF
'yeah thats true really hope able time',NOT
'democrats always give people reasons vote party cares minorities women &amp children party fighting healthcare party reasonable control immigr',NOT
'goodness wife sexually abused liberals weird stuff',NOT
'thank supported please press statement thanks best',NOT
'well',NOT
'believe best days ahead currently face_with_raised_eyebrow',NOT
'cruz thinks voters stupid says beto orourke state texas #resist #maga',OFF
'thats entire basis control facts dont matt',NOT
'right politics place anyones l',OFF
'good thats fine control',OFF
'truly humor said american',OFF
'liberals',NOT
'fuck disgusting animals editor approved shit',OFF
'five days global swamp #maga',NOT
'victim',NOT
'hope another soon',NOT
'said water failure protect environment lead mass death',NOT
'show getting tories ridiculous',OFF
'pretending libs #maga',OFF
'brilliant effort great step count great targeting next week thumbs_up',NOT
'holy shit thank much mine wasnt anymore ended wrong',OFF
'said america heads antifa neck step',NOT
'think blame control',OFF
'made statement story asking liberals money agre',NOT
'legacy crap anyone want save crap',OFF
'loud maga merch dont shit nike anything kiss',OFF
'crazy russian dude owns data',NOT
'really wanna bring personal work computer dont wanna seem apple',OFF
'tough speak mind work occurred work setting',NOT
'confus',NOT
'cant stand listen change channel speaks believes nuts #walkaway #voteredtosaveamerica united_states united_states #maga united_states united_st',OFF
'come long line bigots morons hard first gets better fill decent eventually realize bett',OFF
'activists slip cash protesters arrest',NOT
'brat cant deal another woman long unless',NOT
'comparing government enforcement agency subject constitutional laws private corporation yeah makes sense wait stop talking complete',OFF
'',OFF
'belief',NOT
'unhinged going conservatives making tons money process smart knows &amp liberal left good business days &amp',OFF
'love cut',OFF
'another anything',OFF
'#liberals continue shows dont hire mentally',OFF
'everything shit r',OFF
'people good faith high character come conclusions abortion control religious liberty #kavanaugh',NOT
'eric holder perfect obama administration human decency',NOT
'every time hate feeling happens wide fuck',OFF
'didnt read whole thing white mass shooters arent even considered terrorism theres agenda murder',OFF
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy communist fool',OFF
'daughter family hold tight keep telling safe always folded_hands folded_hands folded_hands folded_hands folded_hands red_heart red_heart red_heart',NOT
'really dont russian collusion proven besides collusion crime people winning #wwg1wga #maga',NOT
'funny things trying show white republicans path storm entire island left fend self days help trump fake presid',OFF
'never much rule rul',NOT
'honestly suck theyre great dont',NOT
'antifa defined striking virtually none par',NOT
'opens mouth comes embarrassment clinton',NOT
'bringing hope change around world #maga north agrees shut site new',NOT
'nothing common',NOT
'america wins president trump google #maga #americafirst',NOT
'legit saying written right',NOT
'classic antifa behaviour',OFF
'wonder conservatives work twitter fear say',NOT
'cares union leader kate report lefty concerns left promoting trudeau liberals bidding liberal party sham',OFF
'democrats left liberal judges conservatives throat every liberal judge investigated back grade school',OFF
'pointing liberals made distinction totally understand global perspective country',NOT
'settled never jury never know truth maybe grabbed first spit really stupid grab either doubt know complete truth',OFF
'boycotting rest lif',OFF
'terribl',OFF
'amazing much money thrown liberals freaking beto everything wrong america vote cruz',OFF
'',NOT
'loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face want loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face thank hospital',NOT
'people speak control &amp violence dont youre attention &amp thats ignorance part',NOT
'trying smoke followers antifa',NOT
'forget describing monster think',OFF
'back',NOT
'rightlmaonope marxists #socialismsuck',NOT
'bono turn hotel refugees asshol',OFF
'nothing lying sack human waste paid left turn',OFF
'yeah sure youll wait certain amount time talking control right sure youre saying thing people using dead push laws nothing right',OFF
'likely shift political operative dream many working towards outcome',OFF
'please point isnt true love austerity public funding love social policies anything empty anyone thread referred drug fraud right true grinning_face_with_big_ey',NOT
'#resist arent dems &amp story imagine false stories conservatives count',NOT
'biden thats phony actor stage time come &amp gone care less preach',OFF
'please leave girlfriend alone know good yall dont understand',NOT
'nigga',OFF
'president liber',OFF
'hurt constantly apologize right conserv',NOT
'hopefully hate boycotting leftist stop saying stupid stuff',OFF
'always defend joined promoting &amp educating owners &amp public guns hypocrisy well except maybe part know liberals members dont always agre',NOT
'legal immigrants 100% correct follow letter cases worked damn hard legally wont anything risk status illegals contempt laws pull 24/7',OFF
'capital police leftist make joke laws #maga #trump2020 #spygate report proves conspiracy jail tim',NOT
'&amp others involved conspiracy theories &amp propaganda protect (antifa) guess 2013 bill &amp 2016 bills propaganda protect state media',NOT
'three soft little figure',NOT
'republicans nancy pelosi working class doesnt help rich thank nancy service little guy',NOT
'across country everyone high handed authoritarian democratic self serving ontario conservatives speak',NOT
'liberals didnt want hear juanita broderick ignored liberals dont want hear keith ellisons double standard',OFF
'already proved hasnt clue things really interest comments opinion',NOT
'detail',NOT
'eric hussein need stfu away many americans died result fast furious running scheme gone eric even congressional backing despic',OFF
'thats disgusted today dont know thought thinks everything wont able forget horrible things don',OFF
'liberals everything rac',NOT
'love r',NOT
'ontario liberals took billions &amp gave national companies calling green energy plan dont worry hook another real beyond hiding',NOT
'complaining comments blames media feeling certain actually reading article basically saying doesnt know shit basically shut mouth',OFF
'little bigger needs join tour',NOT
'today',NOT
'yall shit',NOT
'time political everyone knows behind liberals laughing vot',NOT
'climate always changes climate frauds wealth',NOT
'wont anything needs act',NOT
'conservatives policy antisemitism quote international arent reporting much done labour',NOT
'still',NOT
'liberals exactly want hear rather part helped',NOT
'trump uses intentionally need media screaming lying mostly spin claim instance trump correct called liar month',NOT
'fuck hard',OFF
'didnt raped daughters friend years long committed',OFF
'lie',NOT
'forgot office disagree diane feinstein liberals wrong think',NOT
'isnt left &amp liberals india',NOT
'much projection even left democratic socialist antifa members amaz',NOT
'witch',OFF
'thinking someone trying peoples minds regarding control arms shoot start',OFF
'josh fucking robot',OFF
'traitor',OFF
'political team trump must prosecuted american thinker #maga #pjnet #kag #trumptrain',NOT
'brian tell time voted liberals guns away',NOT
'louder fellow #maga horrible insult',OFF
'yall really change name coming second amendment advocate puts wrong name rifle control lobby assault rifle normal',NOT
'describe antifa opinion democrat army',NOT
'idiots actually listen suck',OFF
'#conservatives #republicans #prolife #ccot part grow voters planned parenthood think speaks',NOT
'biggest saying mean liber',NOT
'hillary clinton',OFF
'looking forward seeing bringing market market needed quality quite time crossed quality',NOT
'conference call election president minutes discussing stop trump supports antifa maxine',NOT
'looks antifa written',NOT
'#theresamay need #peoplesvot',NOT
'antifa stands',NOT
'scari',NOT
'read beautiful made suspicious article confirm',NOT
'weak situation answer question star head earned shouldnt boycott people always want make example serena never happen',NOT
'swear seems shit intentionally show fans hospital heart attacks',OFF
'control debate',NOT
'hero',NOT
'president obama miss something still believes president isnt able accept r',NOT
'lmao called face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy dude arguing sake wanting lose land know called know king even know dude don',NOT
'whats matter #hollywood #liberals face_vomit',NOT
'guess thought nothing made really dont know going series tweets chair misleading public amount &amp threaten',NOT
'live utter conservatives nothing people living social housing look &amp need speak louder words &amp tory words empty promis',OFF
'name calling disabled veteran shame know subject making',OFF
'gonna call bullshit',OFF
'queen',NOT
'deservessmiling_face_with_horn',NOT
'hate much presid',OFF
'tried follow different liberals dairy monopoly offensive party option values takes right',NOT
'blind fool make america great america first americans understand difference people voted donald trump clown_face obama policies complete failure lets seat back enjoy clown_face show starting barack obama',OFF
'thats liberals reason make sure courts conservative judg',NOT
'ador',NOT
'earned million',NOT
'maybe used p',NOT
'state produce crimin',NOT
'#politics #government liberals wont says took call talked plan',NOT
'turns probably fake #qanon #maga',NOT
'know sales know going choose daughter wanted hop',OFF
'watching feel less everyone stan paul makes paul trying understand',NOT
'clueless defence minister',NOT
'dont know facts youre making g',NOT
'farrakhan white people blue devils even repeat said jews',OFF
'ford using energy power home using power plant rest using power plant releasing',NOT
'working pick another career unless understand',NOT
'carrey looking everi',OFF
'picking acts world liberals country much great dating back spread wont suit agenda',NOT
'failure liberal rush everyone away christian family values always violence liberal ideology destroyed society liberals create crisis warped attempt power away individu',NOT
'fuck complete moron',OFF
'congress tried secret strategy openly took position appease muslim conservatives votes trying confuse position votes people india smarter know real reason',NOT
'visit museum revealed hitler popular vote seats used intimidate opponents antifa thugs today hitler muslims side',NOT
'tonight exposing truth behind accusations targeting supreme court pick brett kavanaugh hurricane florence damage rise concert &amp blatant congressional republican betrayal cost election #maga #tcot #kag',NOT
'economy less money public services less immigration work services doubt step #conservatives',NOT
'waiting leak',NOT
'fair enough save breath crying help reality always libertarians &amp conserv',NOT
'breitbart become source anyth',NOT
'',NOT
'policy issues actual data applies obviously familiar massive health care existed legal look decision scotus statements regarding mad',NOT
'think right wearing',NOT
'thats lindsey graham uses butt hol',OFF
'#maga',NOT
'cities avoid',NOT
'thank followed #maga hundred_points united_states united_states united_st',NOT
'fuck',OFF
'dems trying clean #kavanaugh #maga',NOT
'chicago living proof control doesnt work',NOT
'liked good amaz',NOT
'potus right help people heart felt liber',NOT
'beto anti american believes open borders illegals benefits texans need keep st',NOT
'whos number councils north going conservatives thus losing local election seats trying turn democratic vote #brexit',NOT
'least trillion dollars american people people full hatred american people cant trusted look people trusted di',OFF
'cute day',NOT
'facebook much',NOT
'neither antifa',NOT
'another story watching football',OFF
'think really knows',OFF
'united_states #lockthemallup #wwg1wga united_states #greatawakening #winning #qanon #maga james comey knows going indicted youtub',OFF
'antifa bullies fighting democraci',NOT
'care hollywood liber',NOT
'drugs shit taxes across board repeal unconstitutional control law',OFF
'information thinking_face thinking_face face_with_rolling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_ey',NOT
'mass school shooting numbers republicans control keep coming account',NOT
'',NOT
'never watch movies',OFF
'election tell antifa expose',OFF
'proves liberals shame whatsoever proven liar nerve speak',OFF
'devil made ugly face liberals feel sorry innocent honest ones brainwash',OFF
'total stop #antifa',NOT
'problem government &amp party &amp stop second vote result chaos many conservatives fear totally destroy party',NOT
'said supporting control legitimate “she life experience knew people shot',NOT
'looks liberals already found guilty usual anything started apart resistance metoo movement pics marches pink much play part',NOT
'different #maga',NOT
'antifa song',NOT
'dems kavanaugh hearings bring common sense control time time chicago chicago toughest laws country violence capital dick',OFF
'need complete total control needs follow chicago london',NOT
'lump',OFF
'google',NOT
'chelsea hysterical radicals ignore facts fear mongering science helped make sure women unborn safer today morning pill great advance life babi',NOT
'damn drink fight right next party time antifa',NOT
'(lucy hale) traveling poit',NOT
'stop giving family time exactly trump',NOT
'wonder antifa wanted work',NOT
'carrey becoming weird',OFF
'#brettkavanaugh &amp sexual assault professor #christineblaseyford willing testify senate committee #maga',NOT
'best announcement excited love much twice sweetest',NOT
'people #brexit negotiations car',NOT
'less access guns suicide rates proven looking every single country strict better control want prove countri',OFF
'glad',NOT
'water birth physically born birth obviously blood debt paid',OFF
'speaks manner terms cant says people dont know (which prove says believe says talks serious issues makes',NOT
'dogs zany_fac',OFF
'teach children well #maga2020 #wethepeople #maga',NOT
'listen carefully #qanon #wethepeople #thegreatawakening #thestorm #maga #wwg1wga',NOT
'apparently socialist kind label successful capitalist much higher morals opportunities society dumbest follow',OFF
'terrorist organization exactly antifa named criminal organ',NOT
'must gotten email feinstein winking_face_with_tongu',NOT
'accounts antifa dont twist usual gam',NOT
'#lockthemallup #maga',OFF
'#politicslive #conservatives told selling council house housing market solutions lead housing home ownership look homeless figures high lack rights profits #tories selling public land #labour',NOT
'left liberal progressive show democrat party owns deny &amp ideology lying public calling',OFF
'ridiculous going vote point apparent',OFF
'said theyre trying prove goddess everyone nothing offer tells everything fans target know good good threat called goddess',OFF
'#wakeupamerica #americafirst #maga #trump2020 #kag2020 #redwaverising2018 #votered2018 #txsen #voteredtosaveamerica #buildthewall #confirmkavanaugh #walkaway',NOT
'finally smaller cost effective government thank conserv',NOT
'virtue signaling playing young minds thinks attempt stop brexit disgraceful vile honest doesnt care uses w',OFF
