@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'lets many turned around crazy shut happen next days maybe drinking game #wwg1wga #maga',NOT
'safe fucker',OFF
'paid protesters #votedemsout #kavanaugh',OFF
'',NOT
'deep state',NOT
'even liberals agreement',NOT
'want need #maga #maga2020',NOT
'nice individuals',NOT
'lord',NOT
'responding children zero time must find stop',NOT
'decide isnt reasonable fully possible reasonable still wrong guessing never watched show going heard people',OFF
'',NOT
'thats donald trump office democrats good portion republicans shadow government complicit globalist international',OFF
'clear wouldnt listen anyways interested arguing existent racism tweet rather calling ignorant white girl',OFF
'teach',OFF
'cool found person dumber retweeted nice move',OFF
'agreed 100% majority letting #liberals dictate want process',NOT
'am',NOT
'lov',NOT
'',NOT
'liberals cross floor leave trudeau alone leading country financial disaster',NOT
'change term elections 2020',NOT
'another speaks cuba united_states cuba united_states cuba',OFF
'soldier antifa scum',NOT
'making respect patriotism important patriotism exists serve nation',NOT
'lines moore',NOT
'comparing apples liberals often texas voting understand works texas doesnt voting nationally elect texas affects nation',NOT
'doesnt enough going',OFF
'hurts look',NOT
'crowd later years still cant theyre allowed',NOT
'help london based smiling_face_with_smiling_eyes',NOT
'talking green maga sorry twitter isnt eyes maybe youll critique latest article please dont sure slip',OFF
'sometim',NOT
'school shootings suggest research around countries unarmed police forces children citizens kept safe strong control laws enforced',NOT
'keep great work sure many obama deep state employees working trump conservatives constitution matter',NOT
'hel',NOT
'father protection path horrendous storm bless potus patriots great nation gods fall upon human great nation wwg1wga',NOT
'think think powerful enough turn tide last',NOT
'still defend',NOT
'isnt coalition control headed lady turned bully',OFF
'case based evidence badly conservatives gone brexit clear idea leaving means',NOT
'another tweet prove even pure narcissistic sociopath america deserves better &amp need demand',NOT
'actually shit',OFF
'eric epitome govt',NOT
'hard core liberals light liberal party',NOT
'lets',NOT
'brain',NOT
'strong feeling high vote blue control main focus',NOT
'looking hoping sensitive happened middle night taken sleeping truck removed know late true',NOT
'holy shit sick',OFF
'control hurt resistance nazis',NOT
'clown cares',OFF
'course corrupt party stake #maga #wwg1wga',OFF
'awesome news',NOT
'really even care comes foolish annoying mouth home david adults #maga',OFF
'ahhh back wind',NOT
'yeah liberals look victim held covered mouth tried clothes rape friend turned music loud cover hurt ears already',OFF
'make sort sexual foul joke liberals really making',OFF
'folks protest great president pure simple bring control weapon free concealed weapon trying cause control shot head',OFF
'strict enough world stricter control military door door firearms willing give',NOT
'type liberals want come wonderful country',NOT
'complaining shit tournament long think people care roger favorite food watching americans play turn channel',OFF
'british',NOT
'face_with_tears_of_joy face_with_tears_of_joy funny',NOT
'year wanted world champion forever last crying crying girl crying radio although limited review',NOT
'attention bigger accounts everything smaller man_shrugging sometimes even believe something better numbers',NOT
'establishment trying brexit liberals police couldnt keep safe leave well bankrupt house prices fall food prices rise',NOT
'sociopath incapable feeling empathy period',OFF
'know info clubs definitely interested thanks alot',NOT
'dont videos trump supporters blocking sending away dont accept racism said fine people includes antifa ahead pick choose information',OFF
'doesnt',NOT
'wanting control',NOT
'isnt aware anything handsome',NOT
'buck spiderman',NOT
'cant remember happened cant remember happened cant remember liar smear liar',OFF
'freedom people live control dont',NOT
'carrful smol',NOT
'look whos talking #maga',NOT
'really good news conservatives texas gives repubs senate',NOT
'great question #antifa working within government paid taxpayers',NOT
'gave fucking heart shaking',OFF
'remember sister told lucky didnt call police',NOT
'good',NOT
'rubio wants investigation iran',NOT
'yessir',NOT
'correct soul mate',NOT
'girl rage',OFF
'need hang strong together actions hand tories life line without going apart come next general election',NOT
'size',OFF
'position throws paper towels american citizens next help victims latest hurricane claims #stopkavanaugh great docs',NOT
'story producer whos asked fall responds absolutely',NOT
'serena &amp acted spoiled brat rules',OFF
'holding assault rifle calling control moving left',NOT
'know better place',NOT
'haha affordable homes cost minimum south affordable',NOT
'believe weve lost recently actors',NOT
'record control thanks',NOT
'bite',NOT
'sending roll picture',OFF
'party wants taken seriously need call &amp violent liberals antifa hoods beating strangers know nothing either care human life &amp causes people beat cant ways',NOT
'bull shit stop putting words peoples',OFF
'reasons control united states lost cause',NOT
'antifa died antifa hadnt showed without permit',NOT
'process removing',NOT
'crazy liberals crazy eyes',OFF
'still want fuck pussy',OFF
'white_heavy_check_mark followers followers stop #conservatives',NOT
'denial stage almost',NOT
'okay look icon name look',NOT
'seat #walkaway #wwg1wga #qanon #maga',OFF
'texas race race believe liberal',NOT
'yeah good',NOT
'fuck',OFF
'anyone target leftist liberals goal decent conservatives pass service result country harmed congrats liberals antifa',OFF
'love information joining division antifa',NOT
'still daughter still friends name nina changed truly amazing little girl attitude love much believe',NOT
'hannity last night want know love know everything greatest president lifetime modern history wish tell probably ugly though country',NOT
'paul loves dictator leader president putin leaders rule terror things beloved president donald trump figure',OFF
'citizenship illegal immigrants never elected',OFF
'actually #maga spends times shoes pair every months',NOT
'bill aims send masked antifa activists jail years years',NOT
'everything order claim conservatives party business',NOT
'many thinking conservatives know brexit disaster &amp follow deal &amp looking unlikely without major deal option might referendum election dont talk soon',NOT
'every moment past present future still trying link',NOT
'flawed looking large problem',OFF
'loss nothing race woman probably greatest woman tennis player time always sore loser serena great life please stop bullying people',NOT
'trap conservatives know soon public theyre list',OFF
'gorg',NOT
'activist womens movement',NOT
'spewing sh*t &amp anything going district thing socialism dont work suck',OFF
'okay home addresses passed antifa attend',NOT
'army concept army hate',NOT
'much thread looks whoever took photos deserve beautiful',NOT
'fuck weary_face didnt realize finally played',NOT
'dont want hear conservatives amazing willing throw constitution libs conservatives dont positions dont rules make break',NOT
'kind thing liberals want society tweets',NOT
'rest pussy',OFF
'dont hate dont hate conservatives hate stupid hate hypocrites fact think conservative matters matter means much order think',OFF
'said shooting white series closer hopefully',NOT
'keep safe glad going daughter school high point school closed thursday friday',NOT
'fuck',OFF
'conservatives deliberately ignore fact gesture used racists signal theyre white supremacy much asian countries still &amp ruined nazis',OFF
'moron',OFF
'daughter working toward teacher tell support control gets chance isnt shot school',NOT
'tracks across country',NOT
'guys ugly unhinged',OFF
'antifa came german communist party history thats wear masks',NOT
'youre welcome holding tournament watching good shit',NOT
'bitch hood serving face_with_tears_of_joy face_with_tears_of_joy',OFF
'hardly tweets unless give antifa seems',NOT
'lock insane',OFF
'picked fire today really good ugly fuck almost passed fuckin fire wish share bowl brother victory_hand green_heart',OFF
'hillary sure president',NOT
'saving career',NOT
'#metoo best weapon liberals process disgusting woman ones using weapon shameful typical liberalism emotions benefit poster child using woman',OFF
'bono sucks',OFF
'nigga',NOT
'south side thousands died strictest control policies country dont work',OFF
'awesome thanks',NOT
'delusional antifa someone involved many protests already judging others typical facist hiding behind term antifa much jones scary',NOT
'followed #maga',NOT
'billy said nothing leaves',NOT
'hope continue crash',OFF
'congress took away control laws took away article constitution people thank congress',NOT
'thats point faced',NOT
'anything independent thinker loyal party',NOT
'hope park playing rush',NOT
'happy birthday love beautiful',NOT
'conservatives gullible wanted make sure knew',NOT
'democrats shouldnt confirmed republicans politically motivated evidence prove claim week well right back',NOT
'antifa looking thats need know',NOT
'appreciate self great love helps #maga great group people #tuesdaythoughts',NOT
'real',NOT
'fuck',OFF
'wouldnt confident isnt well told different people',NOT
'another great train picked patriots thank including',NOT
'abortion demand thats wants',NOT
'united states murder rate thanks proving control useless except',NOT
'disaster incompetent person',OFF
'birthday greatest constitution gods green earth united_states #therainmakers #wwg1wga #qanon #maga #kag',NOT
'want finally good shit post full body',OFF
'love feeling going sexy',OFF
'didnt recognize without antifa mask',NOT
'look #antifa #qanon #maga #trump2020 #draintheswamp #lockherup #wwg1wga',NOT
'failure inspiration peopl',NOT
'commies #hypocrisy #thestorm #maga #kag #qanon',NOT
'isnt basic issue survival care everyone #dems main point isnt core others control wealth income health care agree',NOT
'fuck terrorists',OFF
'ridiculous tweet read today comparing traitors #cpc liberals saying democrats republicans pathetic',OFF
'true antifa bomb factory germany',NOT
'',NOT
'really want everything great really need bury nonsense &amp everything possible make energy &amp free please right thing',NOT
'orourke ignorant control know talking',OFF
'kaine criminal antifa',NOT
'copyc',NOT
'fuck yeah',OFF
'always found liberals progressives ones socialists knew wanted live well afford',OFF
'fuck elect',OFF
'said speech someone asked fined wanting control offend',OFF
'bullshit star instead fresh prince &amp jeff america needs knee',OFF
'missing point hard point expected responsibility lies woman culture actions woman listen silly girl part culture',OFF
'bloody demon dont need summons',OFF
'voting senator bill democrats florida make state healthy clean control laws changed climate change control florida please vote',NOT
'agree control laws main solution problem',NOT
'outside antifa supported wants tear military',NOT
'crazy things liberals blame trump',NOT
'wonder maga people follow hoping maybe better knowledge maybe want change block maybe thats never change man_shrugging',NOT
'united_states #maga',OFF
'following patriots please follow back thank #maga #kag #walkaway #redwaverising #votered #votedemsout #voteredtosaveamerica',NOT
'united states republic',NOT
'happening losing temper feel behind',NOT
'poorly educated',NOT
'know nazi liberals &amp dont care know everyone hollywood elite &amp prob',OFF
'games impact sack look compared former corner enough punch quit',NOT
'sister single thing obama said',OFF
'anyone actor trying stay',NOT
'know sure maybe tweeting lunatic planning next rally never president brainwashed realize',OFF
'places alleged russian military officials sanctions #tcot #maga #rednationrising',NOT
'allowed congress supposed check clown control congress folks write laws prevent happening',OFF
'annoying',OFF
'people sick books #maga #redwaverising',NOT
'niggas wanna live world endless world wars death chaos hero literally anime',OFF
'bitches',OFF
'white liberals black people black person tries order considered uppity smart good teach lesson',OFF
'dont keep signing talent main event week lost amazing team bobby dont make sense people wonder left main event',NOT
'doesnt mean fighting money loves fight wants make money',NOT
'#leftists #usa going little thinks grinning_squinting_face #maga #mbga #mcga #conservatives #patriots #mega #trump #democrats #republicans',OFF
'agent deep state coup #deepstate #deepstatecorruption #draintheswamp #kag',NOT
'speaking women embarrassing given everything father least women america fully father cheap labor women make products',NOT
'#fakenews liberals losing soon theyll give welfare checks food conservatives enjoying havent years',NOT
'rate beginning positions',NOT
'control seems work australia aint mass shooting police brutality happens literally every week theres video',NOT
'people died puerto rico governments corruption',OFF
'lots things dont know clown_face',NOT
'someone cant even grasp common sense control equal guns liberal',NOT
'game sucks',OFF
'better lying',OFF
'every gets lower lower wanna nazi going pile maga bottom soon enough',OFF
'liberal intellectual nothing bigot',OFF
'funny',NOT
'president elected loves american citizens liberals shown true american horrible morals lawless behavior cant 2016 election elected used',NOT
'course perfect',NOT
'taking kavanaugh able',NOT
'ford knew moment came forward name effort stall #kavanaugh nomination accusations cant proven throw last minute #resistance looks',NOT
'know used think pretty competent clearly nothing paid whore sells reputation trying relevant',NOT
'com',NOT
'wont havent compared antifa protests even',NOT
'technique keyraising_hands_light_skin_ton',NOT
'accusations write book never affair true trust took money still told people call name maga',NOT
'walk away',NOT
'know canada wants seem enough problems liberals right',NOT
'work seems path washington deficit biggest deficit',NOT
'feel free start antifa winking_face',NOT
'unkind',OFF
'come ok_hand sign linked charlottesville trump dont antifa',NOT
'decent socalled conservatives finding sexual predators',OFF
'wrong side control already knew',NOT
'libs circle protect',NOT
'lolol a**hole',OFF
'wouldnt accept youre better thats nice',NOT
'hope safe storm',NOT
'better idea whatever name resign &amp hell back wherever hell people came sake country',OFF
'state kids protesting amendment youth took place young demand govt strip away name control',NOT
'heart prayers parents staff elementary school shooting several reported grip control problem',NOT
'calls chequers nobody #bbc #lbc #tories',OFF
'theres #brexit',NOT
'think going better',NOT
'alright need explanation',NOT
'talking antifa violence says charlottesville even though talking antifa neonazis',NOT
'every identity deals differently conservatives arent canadian campuses views pretty dumb never seen conservative society alone even something conservative',NOT
'finally bless need',NOT
'girl',NOT
'guess needs learn control',NOT
'thanks babe really upset depression taking everyone know love people admire broken_heart dont want anyone think alone fight',NOT
'year',NOT
'hooray',NOT
'please source video antifa violent towards lets sources',NOT
'#redwave coming thats conservative harm political ideals cant liberals liberals vile nasty opposing views',OFF
'#maga',NOT
'going obama clinton',NOT
'gets closer november left full panic talking points forever 25th amendment idiots',OFF
'beauty #theview leftist #maga',OFF
'antifa he/she wont time college busy fighting nazis camera',NOT
'cant pervert zero disappointed pope',OFF
'sooo unique adorable face_blowing_a_kiss two_hearts',NOT
'babbl',NOT
'know exactly works steal money regulations taxes people cant thing government monopoly violence think democrats desperately need control want even power people',OFF
'dont watch games shove hole',OFF
'theyre democrats right theyre hiding anymore #fakenews #maga',OFF
'voters deserve aggressive voters maga',OFF
'cute',NOT
'life partner yellow_heart',NOT
'haha face_with_tears_of_joy',NOT
'correct whole',NOT
'hearnoevil_monkey research control',NOT
'hope season',NOT
'agreed wrong senator collins suggest victim trial',NOT
'billion human beings spare capacity according world government game agenda billion includes billion muslims #maga keep heart &amp mind',NOT
'horse shhh heres viewed',NOT
'friend saying past years setting',NOT
'tell really feel #america bill face_with_rolling_eyes #maga #votered',NOT
'thats &amp never unless takes plane &amp holds hand whole time right next knowing &amp hold afraid',NOT
'thank president trump hearing prayers #maga',NOT
'',NOT
'fails realize party antifa complete lack self people dangerous',OFF
'dont antifa safe people feel',NOT
'economy bullshit jobs back unnecessary debt create growth prevent whole thing falling vote according time elect',NOT
'excuse best wants hang',NOT
'democrats animals country power back',OFF
'piece explaining allegations conservative bias conservatives calling',NOT
'spending contributions vote cruz',NOT
'love stay safe come home soon red_heart',NOT
'democrats controlled major cities long theyve left others desperation crime alternative life instead hand maybe teach better',OFF
'high',NOT
'embarrass',NOT
'control doesnt safety facts time',NOT
'trump doesnt want investigate fords claim trump reported trump raped culture dirty sexual perverted liberals thing ford anita hill white respect women',OFF
'keep telling #maga',NOT
'maybe gangs chicago show discuss philosophy guns control sensible measures chicago chicago home violenc',NOT
'freak',OFF
'mothers deranged left make little boys really going happen pure evil #votedemsout #maga #confirmjudgekavanaugh',OFF
'billy clintons welfare reform caused clear billy clinton republican hillary clintons campaign govern conservatives',NOT
'enough enough leader seems forgotten public',OFF
'wish supports antifa connected muslim dont want power',NOT
'today history repeating liberals away disgusting tricks long need stopped deeply country democrats concerned country power money know never',NOT
'sick doctor side',NOT
'reason number conservatives dont comedy',NOT
'guys dont right hypocrite',OFF
'killing number time done',NOT
'rape never happened lying word many women gold liars',OFF
'dating months finally understand word cock',OFF
'11/copy',NOT
'antifa isnt democrat mostly peaceful',NOT
'please first yell much seem asshole cant hear anything screaming obvious dont dude stfu',OFF
'doesnt surprise texans hate liberals soros backing',OFF
'lesbian',OFF
'control nuts allowed protected thing supposedly despise knife',OFF
'followed patriots united_states #maga united_states thank advance follow back united_states #maga united_states',NOT
'suggest remove',NOT
'keep telling think liberals believe focusing need many million sitting veterans budget intention funding',OFF
'belongs prison killing florida needs change control laws',OFF
'reading comments last night face_with_tears_of_joy basically saying monkey term used years “liberals” made racist thing',NOT
'liberals sure love spend peoples money hope change really works well obamas millionaires really changed better liberals brain left theyd vote president trump',OFF
'sick people',OFF
'sure',OFF
'juan williams called show know',NOT
'stand issues border wall control abortion support president trump agenda',NOT
'exactly bird science antifa riots cause charge whole world',NOT
'exactly havent watched years refuse former think jerry jones disgrace people helped make rich',OFF
'thats nonsense seen tweet',NOT
'give control',OFF
'kate safety code word control isnt anything safe control limits abiding citizens ignore laws wake folks need liberal wagon vote patriots vote latin_cross statue_of_liberty locomotive united_states',OFF
'think calling idiots attacking ones signed took message sent',OFF
'reputation reputation reputation away antifa activist good said useful',OFF
'cool person earth love shows love love classic cars',NOT
'anti antifa means domestic terrorists probably watch stop mind control wear',NOT
'watch plane beat',OFF
'thats biggest worry never seen attacks press blue face lose freedom press lose repeat long enough people believe keep dont',NOT
'found picture holding woman liberals insane',OFF
'know attempting jury working ensure found guilty',NOT
'stopped much dumb shit bless woman',OFF
'shit come',NOT
'aaron finding sending locomotive funny aware jews sent deaths',OFF
'voted trigger article complicit',OFF
'#maga #kag #trump2020 united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states red_heart united_states',NOT
'maga wearing traitors going childhood chest post videos burning &amp',OFF
'tell lying lips moving think voted lies conservatives never receive vote',NOT
'dont forget antifa &amp southern poverty smear center',NOT
'liberals complain time records anonymous letter weeks wait criminal character good',OFF
'jesus christ liberals start young',OFF
'dont watch moron movies',OFF
'funny believes antifa thing calls reality checks face_with_rolling_eyes',NOT
'liberals always find achieve',NOT
'vote cruz #maga',NOT
'yall king #maga',NOT
'another trying back spotlight paul back england shut',OFF
'creepy hands little girls demonrats seen &amp wont talk disgusting pervert actions hate conservatives trump hillary shut away',OFF
'mee',NOT
'know conservatives worried show heart',NOT
'good lord woman',OFF
'pants',OFF
'glad basically never watch',NOT
'fuck face_with_tears_of_joy smiling_face_with_horns red_heart',OFF
'republicans never admit #deepstate part #deepstate really runs federal employees &amp politicians come &amp life #maga #gop',NOT
'chinese years drove china wants reason feinstein name activist #news #maga',NOT
'perceptive sweeti',NOT
'trade jimmy know',NOT
'conservatives need',OFF
'problem senator rubio payroll taken million dollars isnt going anything sensible control',NOT
'farright attacks antifa attacks',NOT
'eyes patriots &amp eyes collision soros #maga #confirmkavanaugh #deepstate',NOT
'clear party ahead conscience',NOT
'stun',NOT
'killing',NOT
'protected identity reasons',NOT
'control policy website',NOT
'making weird friends unless weird friends',NOT
'next years much conservative',OFF
'yall bitches',OFF
'theres answer',NOT
'dont listen disgrace &amp trying score points juan williams listen liked opinion things',NOT
'congratulations million youtube first indian cross million',NOT
'fuck',OFF
'corruption lies',OFF
'took away constitution congress refuses article taken away control laws anymore obama stupid',OFF
'bring look drama legal minds country (and scotus cross lady events already shown cant remember involved #maga',NOT
'supposed july face_with_raised_eyebrow united_states',NOT
'left antifa bunch bullies brave seems everyone nazi different opinion',OFF
'always corey',NOT
'heart attack city keep eating',OFF
'daughter parents hypocrites',OFF
'amazing people things different',NOT
'cut',NOT
'face_blowing_a_kiss',NOT
'congrats deserved showed true meltdown apologize behavior embarrassment arguing side chair thinks superior',OFF
'lets treason laws remove holder planet',OFF
'beat',OFF
'obama zero accomplishments worst president leader country hands shows liberal worship total loser dont know party goals nothing except complain trumps accomplishments liberals',OFF
'trump devil appointed make sure part make sure doesnt voting definitely even scum earth',OFF
'anything help thank #patriots #maga dont hear thanking help share loose signal rain gotta place plug thanks folks bless',OFF
'scor',NOT
'teams #guncontrol group simply stand silently',NOT
'antifa violence charts deaths trump keep moving goal posts defending antifa violence posting year claiming threat democrat rallies violence republicans experience',NOT
'ryan cant wait',NOT
'thought said cant true made',OFF
'think',OFF
'screaming attacking judge sure',NOT
'awesom',NOT
'shit hole corrupt liberals destroyed years years years',OFF
'blood water mistake',NOT
'people fail understand second amendments purpose protect government takeover talking control',NOT
'report sure check lists name target list list targeting trump supporters antifa',NOT
'husband despicable person narcissist cares including',OFF
'look date tweet telling sure #maga',NOT
'monday night shots #trump #conservatives #maga',NOT
'higher education buys thats call liberal #voteredtosaveamerica #kag2018 #maga',NOT
'mine stop crap proof censoring conservatives',OFF
'cares look',NOT
'done thing immigration states rights control fair better setup twitter thread though',NOT
'laura followed order attack parkland victims (who decided advocate control) time position',NOT
'democrats antifa funny american society education advocates (and believing exists research group called',NOT
'embarrassment whole audience needs kicked curb quickly worth dignity',NOT
'know still dont think real',NOT
'childish',OFF
'antifa fascists probably dont even know fascism actually antifa fighting neonazis fighting anyone isnt call nazis justify hate',NOT
'dont forget comment woman standing thus complicit',NOT
'laugh modern antifa',NOT
'maybe book deal isnt good idea #maga #qanon corruption runs deep',NOT
'engaged another looking away road camera literally driving youre arguing face_with_tears_of_joy face_with_tears_of_joy',NOT
'america better retire jeff flake away',OFF
'people antifa',NOT
'says he/she white white people notice many shitty white people',OFF
'hahahaha vacation bunch liberals oops',NOT
'real ones',NOT
'absolute favorite absolutely',NOT
'wasnt moment looked phone sorry growing little hard people give didnt',NOT
'need look treatment women dems already know maga',NOT
'clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands theyre story hurting women actually experience #walkaway #maga #wwg1wga',NOT
'mentioned arrest corrupt mayor yesterday guess busy getting blown away wind',OFF
'disrespect pope need step',NOT
'antifa tell truth',NOT
'people fail understand second amendments purpose protect government takeover talking control',NOT
'oink',NOT
'nigga direct traffic style',NOT
'aware awful management race happening',NOT
'deep disgrace abuse rights existence even generation mine knows life opportunist government people suck liberal dick left nazi',OFF
'good mess',OFF
'using safe argue liberals stalling order help liberals interest perfect pawn play process helping confuse &amp process',OFF
'best player',NOT
'lets keep #maga statue_of_liberty statue_of_liberty united_states united_states united_states beaming_face_with_smiling_eyes',NOT
'remember time clearly fake antifa account paper good times',NOT
'think belongs room trash making comments dont hear flag nazis',OFF
'please follow',NOT
'party wants deport #muslims growing fast #conservatives dont focus never know #mbga',NOT
'wrong liberals scared stop heard',NOT
'burgers hamburger butthead',NOT
'united_states #lockthemallup #wwg1wga united_states #greatawakening #winning #qanon #maga guess',NOT
'must pray every single',NOT
'',NOT
'handsom',NOT
'according liberals guilty unless proves wait trusted dare make claim woman women sins perfect',OFF
'congrats bravery',NOT
'worry fast furious scandal',NOT
'pathet',OFF
'guess really garbage liberal',OFF
'democrat many believe control safety believe',NOT
'adorable',NOT
'easily thing winking_face beaming_face_with_smiling_eyes',NOT
'#conservatives everywhere small town kids need first need know consequences shouldnt held responsible something #hypocrites sleep night',OFF
'politically neutral yeah sure buddy mean conservatives even never trump ones agree trumps policies whole marriage abortion seems minimum',NOT
'crook walking free',OFF
'able mind trying',NOT
'love everything including voice body sound awesome waiting next song make good luck journey',NOT
'total point anger liberals keep divided dont leave sorry party',OFF
'actually terrible imagine proud getting people disaster zone finding water arrested store owner didnt want arrested awful person',OFF
'word cause music theres reason shouldnt selling shows isnt',OFF
'incred',NOT
'russia terrible willie terrible bitch texas piece shit million points first opponents even western',OFF
'2018 theresa conservatives social housing exists',NOT
'hope works twitter likes cause hell',NOT
'absolutely stupid never double pair',OFF
'guess getting number',NOT
'#stopkavanaugh home kavanaugh allegation conservatives soft teen crime',NOT
'republicans sign plan fuck trump considering failure legitimate platform better republican alternative',OFF
'anyone knows anything please help shes going life already gone know anything pleas',NOT
'prominent conservatives removed texas education looks theyre blind dumb',OFF
'mueller fired terms',NOT
'likes carry meet maybe',NOT
'always remember',NOT
'issue threatened clearly penalty imposed enough repeat caught think',NOT
'believe enforcement career',NOT
'dollar socialist liberals york problem',NOT
'lower others saying high trying influence anyway right wasnt using better exclusively return quality life return money',NOT
'youre medical field sure',NOT
'think handle brexit &amp conservatives handle tournament might actually make less mess',NOT
'tweet watch porn insult women make well done',NOT
'lowest unemployment rate hispanic asian &amp african americans jobs highest wage growth highest american employment america history lower taxes opportunities #winning #maga #qanon',NOT
'fine people referring military vets &amp others legal permit protest removal historical statue isnt good enough standards counter protesters antifa',NOT
'heavens sake face_with_rolling_eye',NOT
'time tell type jump lefty bandwagon someone fair chance policies either huge failure liberals result losing next election success ontario',OFF
'brennan still',NOT
'john moore called',NOT
'irish tweet ireland bono gives nazi',OFF
'nothing russia case closed #maga',NOT
'thats seeing want think people want look powerful expressing solidarity useless thing mock',OFF
'stal',NOT
'books bible quran part',NOT
'democrats suffering trump derangement syndrome desperate dirty tricks wont work #maga',OFF
'goat levels basic human completely useless goes show powerful unit',NOT
'meetings regularly maybe consider',NOT
'thats dick energy hundred_points',OFF
'eric alot balls',OFF
'happy birthday hope enjoying college miss',NOT
'liberals mean fans liberal happy everyone around long comfortable existence fucking disgrace need ball rolling serious socialist survive',NOT
'canadian came made good serve served country',NOT
'total phony',OFF
'campaign working responsible city',NOT
'noticed capitalist idea individual rights never rights individual concert individuals towards common goal capitalism everything selfish',NOT
'great',NOT
'best warrior man_shrugging_mediumdark_skin_tone',NOT
'reasons rightwing friend isnt control',OFF
'call corbyn antisemitism believed racist havent seen anything believe antisemitism gone leadership continue conservatives shown actively support',NOT
'good',NOT
'message approved #antifa #blm',NOT
'justice system working american values results graph honor great president supporters stop liberals dead tracks',NOT
'ireland designed british establishment stop paying attention ireland theyve',OFF
'shows world useless little brat corner whats nuts yeah',OFF
'misleading nonsense incapable straight news fake',OFF
'bunch babies toronto',NOT
'keep coming dear president obama words powerful sometimes think prophet president wise words thinks speaks',NOT
'wish join without',NOT
'piece shit',OFF
'chances credible judge suspect',NOT
'even success future brave really true pakistan bless thank',NOT
'real sure free time',NOT
'biased liberal media types still dont realize people long wont talk debt council jobs make',NOT
'telling knows writes bottom proof higher intelligence need',OFF
'obama',NOT
'believe code signaling &amp rapists world wide antifa peaceful protest',NOT
'another person blocked person isnt vulgar sort agenda &amp every tweets &amp passing every single tweet sick &amp creepy',NOT
'twitter becoming 2013 fucking terrified',OFF
'',NOT
'fascism right fully protected hold left account threats',NOT
'index_pointing_up dirty liberals november patient first clear left absolutely zero intention playing rules hope president trump joke party extent',OFF
'either shit somebody face_with_tears_of_joy',OFF
'control worked chicago safe place live',NOT
'heart beautiful wonderful red_heart red_heart red_heart purple_heart purple_heart rose rose rose rose rose collision sparkles sparkles sparkles white_medium_star white_medium_star',NOT
'wish liberals keep promises',NOT
'but',OFF
'makes sense',NOT
'year history first time nation full registration streets safer police world follow lead future hitler control starts safety',NOT
'lack morals mother abortion murder',OFF
'amazing liberals suit political agenda dont believe good feeling price produce evidence',OFF
'democrats want control range practice youll better',OFF
'without even explaining makes wonder think thinking dont news orban twice makes believe news favourite politicians read news apart',NOT
'cause woman comes years later cant believed liberal outrage accused beating wife silent libs hypocritical liberals make sick',OFF
'mock disabled people funny maga crowd likes pick weak support powerful bullies wonder role model',OFF
'little moving fast',NOT
'jesus cunt',OFF
'preaching truth right tell masses',NOT
'concert goers ruger blames control laws',NOT
'amazing dems dont feel unborn generations keep illegals',OFF
'need help packing',NOT
'control failed reduce homicides homicide rate dropped laws rose enjoy knee people dont really give shit though',OFF
'bull much paying statements president country',NOT
'biggest balls rolling_on_the_floor_laughing rolling_on_the_floor_laughing united_states maga',NOT
'dumb european government allowed make decision affects entire planet even enforce going every computer world',OFF
'political hack nothing agenda never credible enough bench cant handle truth liberals link joined party',NOT
'conservatives really arent found liberal side',NOT
'control policies deliver even school shooting victim',NOT
'hope finds peace provide happiness need',NOT
'apparently twitter didnt ellison post screen anyways post elsewhere #maga',NOT
'know think theyre ones surprised think liberals want make ownership illegal',OFF
'well shes half right shit',OFF
'fine meeting today discuss approve project honestly faith head side little listened phone call',NOT
'warrior many without country two_hearts united_states united_states smiling_face_with_sunglasses',NOT
'looks jokes liberals #forttrump #poland #boomingeconomy',NOT
'week year march report prior released home office full link stream questions asked laughable #maga #mega #mbga #mbga #conservatives #muslims',OFF
'blatantly used hand wife caught went defensive entitled story isnt',NOT
'media using criminals push control',OFF
'thats antifa theyre violent hide obviously support',OFF
'discuss',NOT
'prove little know history post wars failure arms industry feeding taxpayers control last thing mind youve lied',NOT
'harris makes look ignorant daily #maga without',OFF
'bono always sticking hand someone elses buck america africa never money',OFF
'nice complete answer right constitution guarantee right face care',NOT
'conservatives longer conservatives think bernier started party follow original conservative value',NOT
'mans evening morning morning',NOT
'afraid liberals screamed potus screaming keep truth dont want hypocrites &amp agencies apples involved soft coup',OFF
'said true',NOT
'yeah thats kinda thing right proud boys wear tshirts saying nothing wrong antifa ones violent please actual fascist every time brought experience dude stopped',OFF
'antifa antifascist north korea democratic republic',NOT
'might another term liberals shell',NOT
'wonder thank killing industry using trump derangement syndrome deranged next election zero seats liberals',NOT
'hell offered last year',OFF
'every social media platforms arguing racist isnt powers manipulate push agendas gain power shit know exactly saying pretty liberal cant stand racism',OFF
'anti american wanted bring used american sports',NOT
'still even really trying shit wanna know everyone saying murdered song terrible thats absolutely gonna successful artist dont know killed',OFF
'chicago already strictest control laws country',OFF
'',NOT
'fake polls',NOT
'prepared party country price gold want keep individuals interests ruin nation people',NOT
'nice list course control favor freedom religion people believe whatever need keep schools place schools',NOT
'liars',OFF
