@relation Train
@attribute Lemmatized string
@attribute subtask_b {UNT,TIN}
@data
'says antifa member',TIN
'liberals bottom',TIN
'#tories absolutely pathetic angry_face angry_face angry_face',UNT
'scary super members antifa match serious question left leaders youth groups form taking advantage abuse weak',TIN
'another typical liberal control uses hate bullying',TIN
'dont lead nothing control laws everything cities',TIN
'pretty perhaps tears',TIN
'thats answer fuck antifa',TIN
'theres murder deaths states strictest control ignorant fact make',TIN
'likely believes lies told daily #walkaway talked community color understand',TIN
'democrats longer care bout constitutional laws illegals drug rapists muslims antifa anybody hates crazy',TIN
'sucks',TIN
'destroying life case father going court already seems done something wrong police matter forward whoever guilty',TIN
'says sleep gonna trump needs',TIN
'relevant might well know someone garbage',TIN
'dont anymore excuse fuck',UNT
'mueller proves judicial system democrat special charge republicans play game republican special charge democrats right balls court republicans maga',TIN
'serial rape didnt seem problem liberals bill clinton hillary figure hypocrisy',TIN
'still ignorant',TIN
'justify death racists &amp bigots theyre excuse well criminal &amp deserved murdered wait till start',TIN
'pope make mistake anyone child',TIN
'least experience though born missed great worse shit show',UNT
'trumps lies grown dangerous mother jones truth #maga',TIN
'liberals live think people look',TIN
'fuckin group people soon someone hands find another company work',TIN
'conservatives quit rather fight every claim patriots &amp fight constitution &amp dems know stick together history proves',TIN
'lets bitches',TIN
'pope dope',TIN
'says religious religion religious peace',TIN
'fuck',UNT
'shit',UNT
'fuck killing face_with_tears_of_joy',TIN
'problem people read shit cunt already think already support believe fake news',TIN
'draw straight line think lies #kavanaugh right wall good refugees terrorists racist reverse racism real disrespectful #maga',TIN
'hope full shit',TIN
'games make feel youre really makes feel youre fucking whore',UNT
'mean exactly conservatives attacking current victim',TIN
'suck wanna',TIN
'vote sake move issue months allow fuck lets seriously #maga',TIN
'basic argument canada passed laws crime stop claim control failure effect crime article advocate',TIN
'control people believe legal owners following current laws fools making citizens',TIN
'please dont make today never shit',UNT
'sick fuck quick fuck',UNT
'communist roger goodell teaching class daughters shameful left wing ruining sport football instead values flag',UNT
'realize useless argument drunk arrested youre kill someone drunk murder rules regulations safety drinking need control',TIN
'house shits crazy',UNT
'dick damn didnt know actually',TIN
'things definitely fucked need state obvious conservatives needed liberals needed without',TIN
'except little attempted rape thing wonderful',TIN
'first sensible fucking control',UNT
'qualified',TIN
'maxine needs suffering trump syndrome',TIN
'100% lying dont understand mind liberal money means nothing trump means',TIN
'love liberals word kind hillary said said anger knew meant bullshit',TIN
'line sound soon talk control typical funded response mass murder',TIN
'sick corrupt ignorant moron',TIN
'keep putting violent liberal antifa hoods beating strangers know nothing streets voters voters love violence &amp lunatic liberals minds streets violent liberals',TIN
'really control limits personally safety makes even good people guns even make hard women guns self defense keep simple background check system already',TIN
'thing beto texas border reasonable control texas citizens someone hurt citizens defend poor need beto',TIN
'dont care good player year make train tell looks example',TIN
'turn maga',TIN
'conservatives anything eliminate value country people worked died dont want lost fake constitution people value constitution right',TIN
'chicago record number homicides control laws working',UNT
'push narrative remember place tell think well hillary said deplorable said dregs society tells feel middle class christians conservatives',TIN
'please find thread failure deal foul smear good example rules apply #fakenews #maga soon',TIN
'look #kavanaugh stop shit #maga',TIN
'face_with_tears_of_joy zombie walk little scary remember zombie said going',TIN
'knew wouldnt never thought every single republican regarding everything mentioned tweet pretty',TIN
'knew released ignorant base',TIN
'never doubt read dirty satan',TIN
'calling something different still borders country higher taxes control socialist work illegals family texas values arent california jones dont even live stay',UNT
'antifa simply wants kill carry back',TIN
'aint getting pussy',UNT
'wall women raped',TIN
'disgrace',TIN
'sadly blew interview bought pass test real progressive whats left base thanks need know',TIN
'antifa',TIN
'reputation dishonest senator',TIN
'control press',TIN
'kavanaugh innocent liberals hate trump right thing years word',TIN
'youre fucking drugs dude',UNT
'complete pouting_face',TIN
'show plenty lefties antifa getting weak',TIN
'going away nearly dead lack post hurricane support trump administration using single year offensive',TIN
'love bitch',TIN
'fuckingndbs funnyhejs',UNT
'help already account wants dont phone instead tells busy hang service',TIN
'lier money nobody wants except fascists friends smoke money friends nazis nazi',TIN
'doesnt lose spend money free better',TIN
'cowards list antifa cowards terrorist',TIN
'spoiled',TIN
'nothing left wing unhinged liberal needs shut life time',TIN
'missing brains',TIN
'disturbed platform become state',TIN
'dumb point',TIN
'fuck going back',TIN
'vicious',TIN
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy delusional',TIN
'antifa hate groups created democrats',TIN
'said character really cheap porn high type',TIN
'tweet care less whatever',TIN
'evidence liberals goal sabotage make trump enemy trump hate vote canada election 2019',TIN
'sick individual life make world better place trash',TIN
'gotta keep control terrorists',TIN
'sounds relevant march woke snowflakes abortion india legal womans choice instead issue india least relevant',TIN
'supporting state international crimes shame',TIN
'seen hispanics shit trump family members mine believes trump helped trump &amp majority immigrants come',TIN
'havent cant anything',TIN
'drunk back #maga',TIN
'bigger problem liberal control nuts want open borders society create ruling class communist proven fail england muslim ground shameful',TIN
'shocking almost liberals crazy insane clinton witch lost theyve become bunch damn stop acting children grow',TIN
'talking someone background guns catholic control research',TIN
'#antifa weapons fight racists streets openly mass murder stands communist killed million people United_States',TIN
'well start talking dana sensible control laws calls tragedy whore arent conversation talking',UNT
'coming arrested charged deranged individual',TIN
'really feels call citizens worse deplorable nuts wonder running obviously thinks better time away biden',TIN
'youre embarrassment republican party glad took quit',TIN
'proof United_States friends dont free college putting illegals United_States antifa running around acting never real life experience antifa kids white',TIN
'qual',UNT
'almost every talked work today said fuck',TIN
'hope fucken thought face_with_tears_of_joy face_with_tears_of_joy',TIN
'dirty',TIN
'name social death anyone members dare many people lost lives control',TIN
'problem chicago wish think something different attention control getting',TIN
'careful arms might fall clean',TIN
'innocent people dont resign know liberals love sexual keith ellison several women police reports support',TIN
'boobs face_with_tears_of_joy face_blowing_a_kiss',UNT
'making good decisions',TIN
'gonna suck control',UNT
'know difference pretending someone lying thats point point people forever kill victims sucks',TIN
'gives shit miss sorry',TIN
'qualified obama folks together',TIN
'sorry almost monster cant controlled even controlled youll make mental issues',TIN
'conservatives know canadian liberal media 24/7 hate news help trudeau obvious youre whos hurts canada read tweet thread ignore trumps support israel',TIN
'wake black americans #maga #kavanaugh #trump #trump2020 #walkaway #kag',TIN
'safe fucker',TIN
'paid #votedemsout #kavanaugh',TIN
'decide isnt reasonable fully possible reasonable still wrong never watched show going heard people',TIN
'thats donald trump office democrats good republicans government globalist international',TIN
'clear wouldnt listen anyways interested arguing racism tweet rather calling ignorant white girl',TIN
'teach',TIN
'cool found person dumber nice move',TIN
'another speaks United_States United_States',UNT
'doesnt enough going',TIN
'talking maga sorry twitter isnt eyes maybe youll latest article please dont sure',TIN
'isnt control lady turned bully',TIN
'actually shit',TIN
'holy shit sick',TIN
'clown cares',UNT
'course corrupt party #maga #wwg1wga',TIN
'really even care comes annoying mouth home david adults #maga',TIN
'yeah liberals look victim held covered mouth tried rape friend turned music loud cover hurt ears already',TIN
'make sort sexual foul joke liberals really making',TIN
'folks protest great president pure simple bring control weapon free weapon trying cause control shot head',TIN
'complaining shit long think people care roger favorite watching americans play turn',UNT
'sociopath incapable feeling empathy period',TIN
'dont videos trump supporters sending away dont accept racism said fine people antifa ahead pick choose information',TIN
'cant remember happened cant remember happened cant remember liar smear liar',TIN
'gave fucking heart type',UNT
'girl',TIN
'size',TIN
'serena &amp acted spoiled brat rules',TIN
'sending',TIN
'bull shit stop putting words peoples',UNT
'crazy liberals crazy eyes',TIN
'still want fuck pussy',TIN
'seat #walkaway #wwg1wga #qanon #maga',TIN
'fuck',TIN
'anyone target leftist liberals goal decent conservatives pass service result country liberals antifa',TIN
'paul loves dictator leader president putin leaders rule terror things president donald trump figure',TIN
'illegal immigrants never elected',TIN
'looking problem',TIN
'conservatives know soon public theyre list',TIN
'spewing &amp anything going district thing socialism dont work suck',TIN
'rest pussy',TIN
'dont hate dont hate conservatives hate stupid hate hypocrites fact think conservative matters matter means much order think',TIN
'fuck',TIN
'conservatives ignore fact gesture used racists signal theyre white supremacy much countries still &amp ruined nazis',TIN
'moron',TIN
'guys ugly unhinged',TIN
'bitch hood serving face_with_tears_of_joy face_with_tears_of_joy',TIN
'lock insane',TIN
'fire today really good ugly fuck almost passed fuckin fire wish share brother',TIN
'#metoo best weapon liberals process disgusting woman ones using weapon shameful typical emotions benefit poster child using woman',TIN
'bono sucks',TIN
'side thousands died strictest control policies country dont work',UNT
'hope continue',UNT
'fuck',TIN
'incompetent person',TIN
'want finally good shit post full body',UNT
'love feeling going sexy',UNT
'fuck terrorists',TIN
'ridiculous tweet read today comparing traitors liberals saying democrats republicans pathetic',TIN
'ignorant control know talking',TIN
'fuck yeah',UNT
'always found liberals progressives ones socialists knew wanted live well',TIN
'fuck elect',TIN
'said speech someone asked wanting control',TIN
'bullshit star instead &amp jeff america needs',TIN
'missing point hard point expected responsibility lies woman culture actions woman listen silly girl part culture',TIN
'bloody demon dont need',TIN
'United_States #maga',TIN
'know nazi liberals &amp dont care know everyone hollywood &amp',TIN
'sister single thing obama said',TIN
'know sure maybe tweeting lunatic planning next rally never president brainwashed realize',TIN
'allowed congress supposed check clown control congress folks write laws prevent happening',TIN
'annoying',TIN
'niggas wanna live world world death hero literally',TIN
'bitches',TIN
'white liberals black people black person tries order considered smart good teach',TIN
'#usa going little thinks grinning_squinting_face #maga #mbga #mcga #conservatives #patriots #mega #trump #democrats #republicans',TIN
'people died puerto rico corruption',TIN
'game sucks',TIN
'better lying',TIN
'every gets lower lower wanna nazi going pile maga bottom soon enough',TIN
'liberal intellectual nothing bigot',TIN
'unkind',TIN
'decent socalled conservatives finding sexual',UNT
'lolol a**hole',TIN
'better idea whatever name resign &amp hell back hell people came sake country',TIN
'calls nobody #tories',TIN
'coming thats conservative political cant liberals liberals vile nasty opposing views',TIN
'gets closer november left full talking points forever amendment idiots lets',TIN
'leftist #maga',TIN
'cant pervert zero disappointed pope',TIN
'know exactly works steal money regulations taxes people cant thing government violence think democrats desperately need control want even power people',TIN
'dont watch games shove hole',TIN
'theyre democrats right theyre hiding anymore #fakenews #maga',TIN
'voters deserve voters maga',TIN
'realize party antifa complete lack self people dangerous',TIN
'democrats animals country power back',TIN
'democrats controlled major cities long theyve left others crime alternative life instead hand maybe teach better',TIN
'trump doesnt want investigate claim trump reported trump raped culture dirty sexual perverted liberals thing ford anita hill white respect women',TIN
'freaking',UNT
'deranged left make little boys really going happen pure evil #votedemsout #maga',TIN
'enough enough leader seems public',TIN
'guys dont right hypocrites',TIN
'rape never happened lying word many women liars',TIN
'months finally understand word cock',UNT
'please first much seem asshole cant hear anything screaming obvious dont dude stfu',TIN
'doesnt surprise texans hate liberals soros',TIN
'&gttfw lesbian',TIN
'control nuts allowed thing',TIN
'keep telling think liberals believe need many million sitting budget intention funding',TIN
'belongs prison killing needs change control laws',TIN
'liberals sure love spend peoples money hope change really works well obamas really changed better liberals brain left theyd vote president trump',TIN
'sick people',TIN
'sure',TIN
'exactly havent watched years refuse former think jerry jones disgrace people helped make rich',TIN
'give control',UNT
'safety code word control isnt anything safe control limits abiding citizens ignore laws wake folks need liberal vote patriots vote latin_cross United_States',TIN
'think calling idiots attacking ones took message sent',TIN
'reputation reputation reputation away antifa activist good said useful',TIN
'watch plane beat',TIN
'found holding woman liberals insane',TIN
'stopped much dumb shit bless woman',UNT
'finding sending funny aware sent deaths',TIN
'voted article',TIN
'maga wearing traitors going post videos burning &amp',TIN
'liberals complain time records anonymous wait criminal character good',TIN
'jesus christ liberals start young',TIN
'dont watch moron movies',TIN
'another trying back paul back england shut',TIN
'creepy hands little girls demonrats seen &amp wont talk disgusting pervert actions hate conservatives trump hillary shut away',TIN
'good lord woman',TIN
'pants',UNT
'fuck face_with_tears_of_joy red_heart',TIN
'conservatives need',TIN
'next years much conservatives',TIN
'yall bitches',TIN
'fuck',TIN
'corruption lies',TIN
'took away constitution congress refuses article taken away control laws anymore obama stupid',TIN
'left antifa bunch bullies seems everyone nazi different opinion',TIN
'heart attack city keep eating',TIN
'daughter parents hypocrites',TIN
'deserved showed true apologize behavior embarrassment arguing side thinks shes',TIN
'lets treason laws remove holder',TIN
'beat',TIN
'obama zero worst president leader country hands shows liberal total loser dont know party nothing except complain trumps liberals',TIN
'trump devil make sure part make sure doesnt voting definitely even scum earth',TIN
'anything help thank #patriots #maga dont hear help share loose signal gotta place thanks folks bless',TIN
'thought said cant true made',TIN
'think',UNT
'shit hole corrupt liberals destroyed years years years',TIN
'husband despicable person narcissist cares including',TIN
'mine stop crap proof conservatives',TIN
'childish unprofessional',TIN
'america better jeff flake away',TIN
'says white white people notice many shitty white people sees',TIN
'mentioned arrest corrupt mayor yesterday guess busy getting away',TIN
'deep disgrace abuse rights existence even mine knows life opportunist government people suck liberal dick left nazi',TIN
'good mess',TIN
'using safe argue liberals order help liberals interest perfect play process helping &amp process',TIN
'think belongs room trash making comments dont hear flag nazis',TIN
'according liberals guilty unless proves wait trusted dare make claim woman women perfect',TIN
'pathetic',TIN
'guess really garbage liberals',TIN
'#conservatives everywhere small town kids need first need know consequences shouldnt held responsible something sleep night',TIN
'crook walking free',TIN
'total point anger liberals keep dont leave sorry party',TIN
'actually terrible imagine proud getting people finding water arrested didnt want arrested awful person',TIN
'word cause music theres reason shouldnt selling shows isnt',TIN
'russia terrible terrible bitch texas piece shit million points first even western',TIN
'absolutely stupid never double',TIN
'republicans sign plan fuck trump considering failure platform better republican alternative',TIN
'conservatives removed texas education looks theyre blind dumb',TIN
'time tell type jump lefty someone fair chance policies either huge failure liberals result losing next election success hole',TIN
'tweet bono gives nazi',UNT
'thats seeing want think people want look powerful useless thing mock',TIN
'democrats suffering trump syndrome desperate dirty tricks wont work #maga',TIN
'thats dick energy hundred_points',TIN
'eric balls',TIN
'total phony',TIN
'friend isnt control',TIN
'establishment stop paying attention theyve',TIN
'shows world useless little brat whats nuts yeah',TIN
'nonsense incapable straight news fake',TIN
'piece shit',TIN
'telling knows bottom proof higher intelligence need',TIN
'twitter becoming fucking',UNT
'dirty liberals november first clear left absolutely zero intention playing rules hope president trump joke party',TIN
'either shit somebody face_with_tears_of_joy',TIN
'butt',TIN
'lack morals mother abortion murder',TIN
'amazing liberals political agenda dont believe good feeling evidence',TIN
'democrats want control practice youll better',TIN
'cause woman comes years later cant believed liberal outrage accused beating wife silent libs hypocritical liberals make sick',TIN
'mock disabled people funny maga crowd likes pick weak support powerful bullies wonder model',TIN
'jesus',TIN
'amazing dems dont feel keep illegals',TIN
'control failed homicides rate dropped laws people dont really give shit though',TIN
'dumb government allowed make decision affects entire even enforce going every world',TIN
'know think theyre ones surprised think liberals want make ownership illegal',TIN
'well shes half right shit',TIN
'week year march report released home office full link stream questions asked #maga #mega #mbga #mbga #conservatives',UNT
'media using criminals push control',TIN
'thats antifa theyre violent hide obviously support',TIN
'makes look ignorant daily #maga without',TIN
'bono always hand someone america never money',TIN
'afraid liberals potus screaming keep truth dont want hypocrites &amp involved coup',TIN
'yeah thats kinda thing right proud boys wear saying nothing wrong antifa ones violent please actual fascist every time brought experience dude stopped',TIN
'hell last year',TIN
'every social media platforms arguing racist isnt push gain power shit know exactly saying pretty liberal cant stand racism',TIN
'still even really trying shit wanna know everyone saying murdered song terrible thats absolutely gonna successful dont know killed',UNT
'chicago already strictest control laws country',TIN
'liars',TIN
'term negative knowledge knowledge away information goes reverse away',UNT
'love liberals deal europe',TIN
'thats fucking rude',TIN
'process takes business days credit card active people',UNT
'liberal',TIN
'system controlled liberals works minds children mental must removed order save future great nation United_States',UNT
'gonna death',TIN
'honestly people seriously delusional good thing majority fans educated scary',TIN
'still anonymous oped times times refused name crap within #trump #maga',TIN
'eyes fucking louder words smiling_face_with_hearteyes smiling_face_with_hearteyes purple_heart purple_heart',TIN
'#thursdaythoughts admit ways twitter conservatives seems annoying main feed stupid black return wont even back morning',TIN
'shame tennis stole serena proven draw racists cant handle',TIN
'stupid people tell cause bitch football games class literally everything knows exact numbers everything cause aint',TIN
'didnt start conversation trash talked yall stay mention',TIN
'totally follow dangerous thank United_States',TIN
'agreed great idea wish remove existence #maga',TIN
'amount shit fuck',TIN
'possible california implemented strict control enforcement enough carry public',UNT
'many corrupt evil beings hold govt positions much corrupt &amp evil beings positions &amp majority point left fake conservatives &amp cronies still walking free',TIN
'voter puerto decent doesnt white liberals',TIN
'real shit',TIN
'want conservatives plan even consider climate change using blatant lead people fault fucking sociopath',TIN
'nuts',UNT
'disgraceful innocent proven guilty happen lying',TIN
'acted spoiled brat point taken away deserved good enough today shouldnt women seen sports move',UNT
'know control worked refuse anything',TIN
'everything said exactly need control saving lives nothing matters saving lives people second amendment right crying feelings away coward guns away coward',TIN
'piss',UNT
'liberals jump dont believe process innocent proven anti american bunch',TIN
'dont care right left back bitch star office good',TIN
'ugly hell something anybody wants look',TIN
'United_States #usa #maga #americafirst #trump',TIN
'bruh times dropped kicked back feet aint face_with_tears_of_joy',TIN
'even antifa page couldnt deal shit',TIN
'comes pain #magaUnited_States United_States United_States United_States United_States #wwg1wga',TIN
'hell think little',TIN
'america isnt military husband didnt battle died home fighting control stronger laws regarding mental police educate issues',TIN
'david stop anti people nothing looking remember antifa radical left groups violent hurt people course agree',TIN
'called everything person women racist antifa members haha pretty common fraud gets busted start calling ones busted hilarious names',TIN
'funny assume left antifa even though dislike nazis youre still',TIN
'know youre',TIN
'dickhead thatface_with_tears_of_joy',TIN
'catholic church house demons',TIN
'juan needs check completely control',TIN
'funny',TIN
'hell liberals move california build wall border',TIN
'democrats dont care anything president trump people better realize serious getting vote suffer liberals',TIN
'antifa dont conservatives medicare going antifa protests',TIN
'already workers lame proper piss',UNT
'hell left already hates enough black conservatives arent liked country comment fight',TIN
'disgusting pedophile',TIN
'follow maga patriots United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States United_States',TIN
'know whole people whole bullshit right youll feel responsible happened today already damn much know good great love',TIN
'obama never killed chicago every week chicago ground control laws working watch blame',TIN
'called education health care major strict control abortion',TIN
'suck dick offer',TIN
'dont fool republicans need decide going good people need know kavanaugh going make first dictator happen',TIN
'begin movement giving away mine claims took still relevant show standing another bitter home',TIN
'drooling_face drooling_face shit',TIN
'fair point didnt make meme couldnt sucks many politics funds antifa black lives matter divide people country apart',TIN
'vicious republicans hearings liberals response liar claim republicans defending info real women dont #kavanaugh',TIN
'biased conservatives conservatives',TIN
'swear shit real',TIN
'“casually fucked”',TIN
'something getting really high quality draw really boring fucking something',TIN
'dare',TIN
'cute girl crush year called funny want throw',TIN
'control anti havent seen single attacking thats rhetoric create fear',TIN
'police department shit cute open',TIN
'either liberals shame',TIN
'said niggas',TIN
'sucks loudly_crying_face face_vomiting nauseated_face',TIN
'needs light',TIN
'democrats havent done anything cover think solution want control abortion control free free quit',TIN
'fuck',UNT
'poor baby entire network trusted people still watching brainwashed liberals demonrats',TIN
'maxine town loser joke',TIN
'kept seat open year fair push kavanaugh nominee american people deserve better woman deserves better',TIN
'holy shit love',UNT
'really cant hypocrisy antifa obvious drunk cool',TIN
'care going prison prison',TIN
'free speech alive well social media platforms strict opinions',TIN
'wonder victims',TIN
'cares great deal number people died irrelevant long doesnt look sure blaming democrats trumps lack empathy inability responsibility',TIN
'miss head total lack control',TIN
'someone nice happy hour asking questions sure troll youre antifa something',UNT
'always knew biden obama felt conservatives shocking easily admit wonder hatred violence left',TIN
'worries known',TIN
'shit together',TIN
'star',UNT
'back rock',TIN
'sexy',UNT
'people living place moment moment everything shit feel stronger people successful educated clean violence death',TIN
'antifa much much white america responsible violence nazis',TIN
'ford parents politicians going people come stories years cant proved senator shes reason women hard time life aint easy',TIN
'acting spoiled brat women need sort help',TIN
'fuck',TIN
'hell talking anything stop maga',TIN
'trumps promise border wall control innocent lives taken',TIN
'time maga',TIN
'shes killing babies',TIN
'seems events control safety debate believe eventually state pass laws schools better protection events order push agenda',TIN
'cant write away stupidity liberals',TIN
'exactly sound complete shit tell',TIN
'liberals years play game extra week doesnt matter everyone well aware likely kavanaugh name many years liberals always target',UNT
'sorry break bible actually ancient bible isnt claims inability said claims',TIN
'nigga everywhere face_with_tears_of_joy face_with_tears_of_joy cant escape time',TIN
'embarrassing wonder women raped',TIN
'wont hear claims years record many times pile shit room #maga',TIN
'dont agree sexual assault serious marijuana many allegations supported years theres evidence conservatives afraid investigation make',UNT
'ugly dumb woman',TIN
'liberal anyone give disgusting including liberals bullshit decision',TIN
'fired dead public fake news dont show crowd scared cant stand fire',TIN
'think hypocrite evil vote',TIN
'really sucks control',TIN
'dogs children terms #maga',TIN
'physically threatening boys completely name wasnt honestly saying shit course said fucked least death threats line',TIN
'lies republicans',TIN
'antifa think stupid told white stands thanks',TIN
'probably think hope little hearing hope prove liar witch rest liberals',TIN
'another sick liberal',TIN
'antifa known nazi never thought theyre ones call everyone nazi anything',TIN
'americans need realize rape kill easily environment absolutely close borders proper implemented',TIN
'long biggest exposed corrupt fake lying',TIN
'cute smiling_face_with_hearteyes',UNT
'convenient conservative believes people always type propaganda conservative beliefs conservatives dont learn think',TIN
'cant wait kavanaugh throw control garbage belongs',TIN
'coward',TIN
'flake flake dont senate door behind',TIN
'isnt understand general population sort holding',TIN
'still dont keep dregs society support donald trump #maga',TIN
'dont support control texas long beto',TIN
'hope whoever gets kick want someone theyre liberals worst nightmare everyone look back really fucked dont protesting kavanaugh still protesting trumps',TIN
'thought dislike anyone father wrong even pathetic children must proud father',TIN
'face_with_rolling_eyes shes claiming rape said wont background checks anything found investigate something doesnt even know #maga',TIN
'proud shit fire matter youre matter house high pussy water used',UNT
'watch music video love dumb',TIN
'feel face never change right middle',TIN
'conservatives want talk really lets started balls lets busy',TIN
'know care control done nothing help children fight america vote help kids school vote trump lied',TIN
'smarter fine punch wants wouldnt work actually money wasnt daddy smiling_face_with_sunglasses',TIN
'honest enforcement chinese sexual high school funny american citizen didnt vote #maga',TIN
'really horrible show hundreds antifa didnt kill anybody',TIN
'serious investigation womans motives behind political kind shit never done anyone conservatives bullshit',TIN
'asking blatant truth control discussion country criminals fear government',TIN
'insane antifa democrats violent domestic terrorist group',TIN
'hell talking threats coming control nuts made kids',TIN
'hell reverse rights hell support special interest hell trump hell destroy american healthcare hell favor &amp stop control hell vote rights hell immigrants',TIN
'nothing lose',TIN
'truth need threaten even control seriously talked',TIN
'dont care kids unless shot school &amp used promote control funny hate much used kill less people criminals arms legs start calling everyone',UNT
'shame willing ruin good accusation cant prove theyre liberals dont want supreme court justice follow constitution politics shame',TIN
'needs away face consequences',TIN
'hell queen believe less less every pull youre nothing lying #maga #trump2020',TIN
'maybe smart enough tired getting unlike',TIN
'horrible record control give fuck record horrible theres stupid shit',TIN
'coming sick liberals beast',TIN
'probably violent liberal antifa full force showing much really care humans nope never fall fake garbage long strangers beat thugs never',TIN
'#trump walking towards crowd love moment honest nothing actor tears call control',TIN
'thanks bitch believe',TIN
'planning 2020 lost mind',TIN
'asshole much nerve',TIN
'talk court liberals want word able destroy another life nothing back youre sick',TIN
'hair asking pussy getting thinking trying hide worst #maga',TIN
'lose entire thing block kavanaugh conservative side nominated trump liberals playing games cant youve brainwashed media',TIN
'ashamed michael moore start term internet called troll think ancient troll coming liberal ignorance',TIN
'speaks nothing think',TIN
'shit',TIN
'fucking abuse everyone appears people movies people think fair',TIN
'believe asked people vote mentally unstable',TIN
'reason liberals sick',TIN
'facts hate trump liberal activist makes year claim completely character judge kavanaugh shouldnt question total scam liberals turning jerry show',TIN
'jokes funny person saying doesnt really hate whites christians thats national past time liberals days funny farrakhan crowd racist crap',TIN
'1001',TIN
'much jail whole family',TIN
'game',TIN
'thought werent funny comedian',TIN
'going start socialism control everyone',TIN
'liberals vile vicious disgusting',TIN
'plain stupid thinks shes come next public make tories political come',TIN
'eyes sitting thinking killer porn',UNT
'hilarious liberals think theres using senate rules keep nominee voted bringing someone accuse nominee sexual assault years showing',TIN
'republicans brain rock',TIN
'satan',TIN
'need leave shit past tweet literally made',TIN
'always thats traitors clearly deep state state swamp whatever wish call sees &amp elections #maga',TIN
'carrey shut good',TIN
'didnt think sorry true obama screw american people',TIN
'time press federal criminal charges eric holder swamp scum',TIN
'suffer fools people lazy read learn',TIN
'losing believes speak well part crooked trump done president',TIN
'control working chicago military access assault weapons ignorance still working chinese',TIN
'hell hurt ears',UNT
'youre fucking idiot',TIN
'sick individual dont care pope trash pick sick bring justice',TIN
'thank stupid events serve help republicans 2018 2020 elections #maga',TIN
'better watch morons hands least accusation sexual harassment charges skin',TIN
'worst president',TIN
'real life character love respect shit keep',TIN
'gain understanding hatred putting #maga ignorance platform putting youre going hatred return',TIN
'biggest thing fail everywhere',TIN
'gonna',TIN
'girl bitches',TIN
'reading right thats says believe still stay going anywhere even docs released public wont covered media nobody know',TIN
'believe sides terrible doesnt honestly look conservatives',TIN
'conservatives literally tried argue rights cause western used fall example somehow want didnt',TIN
'hitler proud david',TIN
'shit right face_with_tears_of_joy',UNT
'killing early sitting late looks going miss sucks',TIN
'call negative lives brain constantly battle creep',TIN
'butt hurt',UNT
'chicago already control laws country democrats want disarm abiding citizens criminals always guns',TIN
'liberals dont address attack',TIN
'many bringing fight ended case state cant stomach level every knows',TIN
'doesnt want give anything potus',UNT
'nice true life trump haters funny thing trump done everything good americans america anti americans trump amazing people trumps evil liberal democrats &amp band haters antifa blue wave',TIN
'telling antifa shits dropped less better',TIN
'playing clue based high school party federal judge anyone really seriously',UNT
'damn ugly',TIN
'either crazy stupid straight lying people return policy',TIN
'really talking nonsense talk bible',TIN
'tactic left actually tactic used decades playbook right democratic socialist antifa #maga #qanon',TIN
'awesome plan next gonna pulling money medicare &amp stay never time #maga',TIN
'kind feel antifa maybe man_shrugging',TIN
'know wasnt thats fucking problem',UNT
'still though confirm done though',TIN
'holder prison',TIN
'lord kept shut nobody gives #maga',UNT
'fucked night',UNT
'youre saying official suppose back every rule silly argument line called thats saying billy didnt thrown thrown',TIN
'pres trump right release docs proves investigation biased almost later mueller nothing trump presidency liberals',TIN
'pathetic',TIN
'shot calls control research unethical',TIN
'called said great ideas original thought actually puppet',TIN
'kind mean woman says pretty young ugly never look thing makes look jealous',TIN
'shit doesnt feel real life dont begin',TIN
'liberals truly absolutely disgusting',TIN
'think donald trump disgusting disgraceful shame thinking much puerto rico failed failure called president nothing talk puerto doesnt understand',TIN
'speaks filled holy',TIN
'democrats bring back nazi tactics nazi brown shirts form antifa',TIN
'attempt later life certain guess bono made clear thinking_face thinking_face',TIN
'people &amp making conservatives reason trump people dont &amp &amp shameful',UNT
'remember young minds',TIN
'moore allegations past #maga tells beyond years jeff hands head rabbit rabbit rabbit',TIN
'coming',TIN
'antifa facist dont mean fake title facist',UNT
'anyone expect anything less fool incompetent hair fire libs people lives blame pres trump',TIN
'cunt whos',TIN
'lmao dumb pile said give cancer',TIN
'first ones calls robbed people freaking stupid face_with_rolling_eyes',TIN
'dont feel sorry even amount dumb kids keep watching playing games',TIN
'screw keep shit honestly face_with_tears_of_joy',TIN
'bitch',TIN
'crazy things liberals blame trump unhinged blame everything president',TIN
'think found',TIN
'hope shit doesnt become keep least call',UNT
'social proper everyone knows white trash little money know makes everything always embarrassment',TIN
'sides white shouldnt hard sides wrong side stop trying antifa white makes look white',TIN
'shit niggas told seen size lmaoooo man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone man_facepalming_mediumdark_skin_tone kinds shit',TIN
'girl called tryna call ugly show ugly',TIN
'youd know isnt women democrats dont call justice women assaulted democrats evidence &amp police reports youd know dems demand conservatives found guilty upon accusation youd know political',TIN
'history ancient made dont claim know start looking history theres fucking proof changing',UNT
'right nerve bitch antifa',TIN
'common sense control racist rhetoric',TIN
'democrats double hypocrisy #maga #confirmkavanaugh',TIN
'texas doesnt need liberal everything liberals touch turns crap',TIN
